FLOPs,Patch size,Tokens,Encoder parameters,Global model parameters,Decoder parameters,Global model dimension,Encoder/Decoder dimension,Global model layers,Decoder layers
s,1.5,53511817018.83321,344309.76,7083786.24,688619.52,384,192,4,2
m,1.5,107023634037.66643,344309.76,7083786.24,688619.52,384,192,4,2
s,1.5,34136099025.147503,612106.24,12593397.76,1224212.48,512,256,4,2
m,1.5,68272198050.295006,612106.24,12593397.76,1224212.48,512,256,4,2
s,1.5,23758338731.42588,956416.0,19677184.0,1912832.0,640,320,4,2
m,1.5,47516677462.85176,956416.0,19677184.0,1912832.0,640,320,4,2
l,1.5,118791693657.1294,956416.0,19677184.0,1912832.0,640,320,4,2
s,1.5,20999116484.43298,956416.0,23809392.64,1912832.0,704,320,4,2
m,1.5,41998232968.86596,956416.0,23809392.64,1912832.0,704,320,4,2
l,1.5,104995582422.1649,956416.0,23809392.64,1912832.0,704,320,4,2
xl,1.5,209991164844.3298,956416.0,23809392.64,1912832.0,704,320,4,2
s,1.5,19549844246.33224,1377239.04,23809392.64,2754478.08,704,384,4,2
m,1.5,39099688492.66448,1377239.04,23809392.64,2754478.08,704,384,4,2
l,1.5,97749221231.66121,1377239.04,23809392.64,2754478.08,704,384,4,2
xl,1.5,195498442463.32242,1377239.04,23809392.64,2754478.08,704,384,4,2
s,1.5,17520679335.43912,1377239.04,28335144.96,2754478.08,768,384,4,2
m,1.5,35041358670.87824,1377239.04,28335144.96,2754478.08,768,384,4,2
l,1.5,87603396677.1956,1377239.04,28335144.96,2754478.08,768,384,4,2
xl,1.5,175206793354.3912,1377239.04,28335144.96,2754478.08,768,384,4,2
s,1.5,15774596044.980534,1377239.04,33254440.96,2754478.08,832,384,4,2
m,1.5,31549192089.961067,1377239.04,33254440.96,2754478.08,832,384,4,2
l,1.5,78872980224.90266,1377239.04,33254440.96,2754478.08,832,384,4,2
xl,1.5,157745960449.80533,1377239.04,33254440.96,2754478.08,832,384,4,2
s,1.5,14806460540.358307,1874575.3599999999,33254440.96,3749150.7199999997,832,448,4,2
m,1.5,29612921080.716614,1874575.3599999999,33254440.96,3749150.7199999997,832,448,4,2
l,1.5,74032302701.79153,1874575.3599999999,33254440.96,3749150.7199999997,832,448,4,2
xl,1.5,148064605403.58307,1874575.3599999999,33254440.96,3749150.7199999997,832,448,4,2
s,1.5,13468143556.676039,1874575.3599999999,38567280.64,3749150.7199999997,896,448,4,2
m,1.5,26936287113.352077,1874575.3599999999,38567280.64,3749150.7199999997,896,448,4,2
l,1.5,67340717783.380196,1874575.3599999999,38567280.64,3749150.7199999997,896,448,4,2
xl,1.5,134681435566.76039,1874575.3599999999,38567280.64,3749150.7199999997,896,448,4,2
s,1.5,12291955022.820082,1874575.3599999999,44273664.0,3749150.7199999997,960,448,4,2
m,1.5,24583910045.640163,1874575.3599999999,44273664.0,3749150.7199999997,960,448,4,2
l,1.5,61459775114.10041,1874575.3599999999,44273664.0,3749150.7199999997,960,448,4,2
xl,1.5,122919550228.20082,1874575.3599999999,44273664.0,3749150.7199999997,960,448,4,2
s,1.5,11612538931.91932,2448424.96,44273664.0,4896849.92,960,512,4,2
m,1.5,23225077863.83864,2448424.96,44273664.0,4896849.92,960,512,4,2
l,1.5,58062694659.596596,2448424.96,44273664.0,4896849.92,960,512,4,2
xl,1.5,116125389319.19319,2448424.96,44273664.0,4896849.92,960,512,4,2
l,1.5,53411900661.06213,2448424.96,50373591.04,4896849.92,1024,512,4,2
xl,1.5,106823801322.12427,2448424.96,50373591.04,4896849.92,1024,512,4,2
l,1.5,49259179019.997375,2448424.96,56867061.76,4896849.92,1088,512,4,2
xl,1.5,98518358039.99475,2448424.96,56867061.76,4896849.92,1088,512,4,2
l,1.5,46782101485.86526,3098787.84,56867061.76,6197575.68,1088,576,4,2
xl,1.5,93564202971.73051,3098787.84,56867061.76,6197575.68,1088,576,4,2
l,1.5,43416400397.00901,3098787.84,63754076.16,6197575.68,1152,576,4,2
xl,1.5,86832800794.01802,3098787.84,63754076.16,6197575.68,1152,576,4,2
l,1.5,40373774213.17345,3098787.84,71034634.24000001,6197575.68,1216,576,4,2
xl,1.5,80747548426.3469,3098787.84,71034634.24000001,6197575.68,1216,576,4,2
l,1.5,38511278669.2481,3825664.0,71034634.24000001,7651328.0,1216,640,4,2
xl,1.5,77022557338.4962,3825664.0,71034634.24000001,7651328.0,1216,640,4,2
l,1.5,35995939931.54487,3825664.0,78708736.0,7651328.0,1280,640,4,2
xl,1.5,71991879863.08974,3825664.0,78708736.0,7651328.0,1280,640,4,2
l,1.5,34362218512.79997,4629053.4399999995,78708736.0,9258106.879999999,1280,704,4,2
xl,1.5,68724437025.59995,4629053.4399999995,78708736.0,9258106.879999999,1280,704,4,2
s,1.5,33554629672.816303,612106.24,12052275.2,1224212.48,448,256,5,2
m,1.5,67109259345.63261,612106.24,12052275.2,1224212.48,448,256,5,2
s,1.5,22683762795.63839,956416.0,19923148.799999997,1912832.0,576,320,5,2
m,1.5,45367525591.27678,956416.0,19923148.799999997,1912832.0,576,320,5,2
l,1.5,113418813978.19194,956416.0,19923148.799999997,1912832.0,576,320,5,2
s,1.5,18506206401.08723,1377239.04,24596480.0,2754478.08,640,384,5,2
m,1.5,37012412802.17446,1377239.04,24596480.0,2754478.08,640,384,5,2
l,1.5,92531032005.43616,1377239.04,24596480.0,2754478.08,640,384,5,2
xl,1.5,185062064010.8723,1377239.04,24596480.0,2754478.08,640,384,5,2
s,1.5,16407124195.675112,1377239.04,29761740.8,2754478.08,704,384,5,2
m,1.5,32814248391.350224,1377239.04,29761740.8,2754478.08,704,384,5,2
l,1.5,82035620978.37555,1377239.04,29761740.8,2754478.08,704,384,5,2
xl,1.5,164071241956.7511,1377239.04,29761740.8,2754478.08,704,384,5,2
s,1.5,13793238359.464628,1874575.3599999999,35418931.2,3749150.7199999997,768,448,5,2
m,1.5,27586476718.929256,1874575.3599999999,35418931.2,3749150.7199999997,768,448,5,2
l,1.5,68966191797.32314,1874575.3599999999,35418931.2,3749150.7199999997,768,448,5,2
xl,1.5,137932383594.64627,1874575.3599999999,35418931.2,3749150.7199999997,768,448,5,2
s,1.5,12438374480.990696,1874575.3599999999,41568051.2,3749150.7199999997,832,448,5,2
m,1.5,24876748961.98139,1874575.3599999999,41568051.2,3749150.7199999997,832,448,5,2
l,1.5,62191872404.95348,1874575.3599999999,41568051.2,3749150.7199999997,832,448,5,2
xl,1.5,124383744809.90697,1874575.3599999999,41568051.2,3749150.7199999997,832,448,5,2
s,1.5,11743133582.938757,2448424.96,41568051.2,4896849.92,832,512,5,2
m,1.5,23486267165.877514,2448424.96,41568051.2,4896849.92,832,512,5,2
l,1.5,58715667914.69379,2448424.96,41568051.2,4896849.92,832,512,5,2
xl,1.5,117431335829.38757,2448424.96,41568051.2,4896849.92,832,512,5,2
l,1.5,53450129831.79782,2448424.96,48209100.8,4896849.92,896,512,5,2
xl,1.5,106900259663.59564,2448424.96,48209100.8,4896849.92,896,512,5,2
l,1.5,48815697743.74689,2448424.96,55342080.0,4896849.92,960,512,5,2
xl,1.5,97631395487.49377,2448424.96,55342080.0,4896849.92,960,512,5,2
l,1.5,46381919931.620384,3098787.84,55342080.0,6197575.68,960,576,5,2
xl,1.5,92763839863.24077,3098787.84,55342080.0,6197575.68,960,576,5,2
l,1.5,42671771359.35912,3098787.84,62966988.8,6197575.68,1024,576,5,2
xl,1.5,85343542718.71825,3098787.84,62966988.8,6197575.68,1024,576,5,2
l,1.5,39358219792.428635,3098787.84,71083827.2,6197575.68,1088,576,5,2
xl,1.5,78716439584.85727,3098787.84,71083827.2,6197575.68,1088,576,5,2
l,1.5,37586187326.33124,3825664.0,71083827.2,7651328.0,1088,640,5,2
xl,1.5,75172374652.66248,3825664.0,71083827.2,7651328.0,1088,640,5,2
l,1.5,34871319586.0809,3825664.0,79692595.19999999,7651328.0,1152,640,5,2
xl,1.5,69742639172.1618,3825664.0,79692595.19999999,7651328.0,1152,640,5,2
xl,1.5,64836987918.02864,3825664.0,88793292.80000001,7651328.0,1216,640,5,2
l,1.5,33335910883.74202,4629053.4399999995,79692595.19999999,9258106.879999999,1152,704,5,2
xl,1.5,66671821767.48404,4629053.4399999995,79692595.19999999,9258106.879999999,1152,704,5,2
xl,1.5,62174730557.76283,4629053.4399999995,88793292.80000001,9258106.879999999,1216,704,5,2
xl,1.5,58079557704.78345,4629053.4399999995,98385920.0,9258106.879999999,1280,704,5,2
xl,1.5,55742452852.54897,5508956.16,98385920.0,11017912.32,1280,768,5,2
s,1.5,47437981632.13496,344309.76,7378944.0,688619.52,320,192,6,2
m,1.5,94875963264.26991,344309.76,7378944.0,688619.52,320,192,6,2
s,1.5,34812710513.85299,612106.24,10625679.36,1224212.48,384,256,6,2
m,1.5,69625421027.70598,612106.24,10625679.36,1224212.48,384,256,6,2
s,1.5,28851929203.403866,612106.24,14462730.24,1224212.48,448,256,6,2
m,1.5,57703858406.80773,612106.24,14462730.24,1224212.48,448,256,6,2
l,1.5,144259646017.01935,612106.24,14462730.24,1224212.48,448,256,6,2
s,1.5,22675679043.34496,956416.0,18890096.64,1912832.0,512,320,6,2
m,1.5,45351358086.68992,956416.0,18890096.64,1912832.0,512,320,6,2
l,1.5,113378395216.7248,956416.0,18890096.64,1912832.0,512,320,6,2
s,1.5,19525403606.025265,956416.0,23907778.56,1912832.0,576,320,6,2
m,1.5,39050807212.05053,956416.0,23907778.56,1912832.0,576,320,6,2
l,1.5,97627018030.12633,956416.0,23907778.56,1912832.0,576,320,6,2
xl,1.5,195254036060.25266,956416.0,23907778.56,1912832.0,576,320,6,2
s,1.5,18266314139.078747,1377239.04,23907778.56,2754478.08,576,384,6,2
m,1.5,36532628278.15749,1377239.04,23907778.56,2754478.08,576,384,6,2
l,1.5,91331570695.39374,1377239.04,23907778.56,2754478.08,576,384,6,2
xl,1.5,182663141390.78748,1377239.04,23907778.56,2754478.08,576,384,6,2
s,1.5,16012524222.721842,1377239.04,29515776.0,2754478.08,640,384,6,2
m,1.5,32025048445.443684,1377239.04,29515776.0,2754478.08,640,384,6,2
l,1.5,80062621113.6092,1377239.04,29515776.0,2754478.08,640,384,6,2
xl,1.5,160125242227.2184,1377239.04,29515776.0,2754478.08,640,384,6,2
s,1.5,13352563759.752434,1874575.3599999999,35714088.96,3749150.7199999997,704,448,6,2
m,1.5,26705127519.504868,1874575.3599999999,35714088.96,3749150.7199999997,704,448,6,2
l,1.5,66762818798.76218,1874575.3599999999,35714088.96,3749150.7199999997,704,448,6,2
xl,1.5,133525637597.52435,1874575.3599999999,35714088.96,3749150.7199999997,704,448,6,2
s,1.5,11936286615.35176,1874575.3599999999,42502717.44,3749150.7199999997,768,448,6,2
m,1.5,23872573230.70352,1874575.3599999999,42502717.44,3749150.7199999997,768,448,6,2
l,1.5,59681433076.758804,1874575.3599999999,42502717.44,3749150.7199999997,768,448,6,2
xl,1.5,119362866153.51761,1874575.3599999999,42502717.44,3749150.7199999997,768,448,6,2
s,1.5,11294593295.176664,2448424.96,42502717.44,4896849.92,768,512,6,2
m,1.5,22589186590.35333,2448424.96,42502717.44,4896849.92,768,512,6,2
l,1.5,56472966475.88332,2448424.96,42502717.44,4896849.92,768,512,6,2
xl,1.5,112945932951.76665,2448424.96,42502717.44,4896849.92,768,512,6,2
l,1.5,51012903061.6805,2448424.96,49881661.44,4896849.92,832,512,6,2
xl,1.5,102025806123.361,2448424.96,49881661.44,4896849.92,832,512,6,2
l,1.5,46261508738.294205,2448424.96,57850920.96,4896849.92,896,512,6,2
xl,1.5,92523017476.58841,2448424.96,57850920.96,4896849.92,896,512,6,2
l,1.5,44070036818.91514,3098787.84,57850920.96,6197575.68,896,576,6,2
xl,1.5,88140073637.83028,3098787.84,57850920.96,6197575.68,896,576,6,2
l,1.5,40285906850.69155,3098787.84,66410496.0,6197575.68,960,576,6,2
xl,1.5,80571813701.3831,3098787.84,66410496.0,6197575.68,960,576,6,2
l,1.5,36938450097.71656,3098787.84,75560386.56,6197575.68,1024,576,6,2
xl,1.5,73876900195.43312,3098787.84,75560386.56,6197575.68,1024,576,6,2
l,1.5,38431323164.015785,3825664.0,66410496.0,7651328.0,960,640,6,2
xl,1.5,76862646328.03157,3825664.0,66410496.0,7651328.0,960,640,6,2
l,1.5,35373278576.660225,3825664.0,75560386.56,7651328.0,1024,640,6,2
xl,1.5,70746557153.32045,3825664.0,75560386.56,7651328.0,1024,640,6,2
l,1.5,32639765166.48833,3825664.0,85300592.64,7651328.0,1088,640,6,2
xl,1.5,65279530332.97666,3825664.0,85300592.64,7651328.0,1088,640,6,2
xl,1.5,60380845818.44346,3825664.0,95631114.24,7651328.0,1152,640,6,2
xl,1.5,62581562801.12496,4629053.4399999995,85300592.64,9258106.879999999,1088,704,6,2
xl,1.5,58065424173.367805,4629053.4399999995,95631114.24,9258106.879999999,1152,704,6,2
xl,1.5,53984632128.262985,4629053.4399999995,106551951.36000001,9258106.879999999,1216,704,6,2
xl,1.5,55729433766.69682,5508956.16,95631114.24,11017912.32,1152,768,6,2
xl,1.5,51959721847.853584,5508956.16,106551951.36000001,11017912.32,1216,768,6,2
xl,1.5,48528270032.67486,5508956.16,118063104.0,11017912.32,1280,768,6,2
xl,1.5,46751017890.090096,6465372.16,118063104.0,12930744.32,1280,832,6,2
s,1.5,30680848176.12225,612106.24,12396625.92,1224212.48,384,256,7,2
m,1.5,61361696352.2445,612106.24,12396625.92,1224212.48,384,256,7,2
s,1.5,23566680234.821457,956416.0,16873185.28,1912832.0,448,320,7,2
m,1.5,47133360469.642914,956416.0,16873185.28,1912832.0,448,320,7,2
l,1.5,117833401174.10728,956416.0,16873185.28,1912832.0,448,320,7,2
s,1.5,19981945680.648052,956416.0,22038446.08,1912832.0,512,320,7,2
m,1.5,39963891361.296104,956416.0,22038446.08,1912832.0,512,320,7,2
l,1.5,99909728403.24026,956416.0,22038446.08,1912832.0,512,320,7,2
s,1.5,16161220237.18652,1377239.04,27892408.32,2754478.08,576,384,7,2
m,1.5,32322440474.37304,1377239.04,27892408.32,2754478.08,576,384,7,2
l,1.5,80806101185.93259,1377239.04,27892408.32,2754478.08,576,384,7,2
xl,1.5,161612202371.86517,1377239.04,27892408.32,2754478.08,576,384,7,2
s,1.5,13331320360.839146,1874575.3599999999,34435072.0,3749150.7199999997,640,448,7,2
m,1.5,26662640721.67829,1874575.3599999999,34435072.0,3749150.7199999997,640,448,7,2
l,1.5,66656601804.195724,1874575.3599999999,34435072.0,3749150.7199999997,640,448,7,2
xl,1.5,133313203608.39145,1874575.3599999999,34435072.0,3749150.7199999997,640,448,7,2
s,1.5,11807795263.901114,1874575.3599999999,41666437.120000005,3749150.7199999997,704,448,7,2
m,1.5,23615590527.802227,1874575.3599999999,41666437.120000005,3749150.7199999997,704,448,7,2
l,1.5,59038976319.50557,1874575.3599999999,41666437.120000005,3749150.7199999997,704,448,7,2
xl,1.5,118077952639.01114,1874575.3599999999,41666437.120000005,3749150.7199999997,704,448,7,2
s,1.5,11179479328.740818,2448424.96,41666437.120000005,4896849.92,704,512,7,2
m,1.5,22358958657.481636,2448424.96,41666437.120000005,4896849.92,704,512,7,2
l,1.5,55897396643.70409,2448424.96,41666437.120000005,4896849.92,704,512,7,2
xl,1.5,111794793287.40817,2448424.96,41666437.120000005,4896849.92,704,512,7,2
l,1.5,50091770046.248695,2448424.96,49586503.68,4896849.92,768,512,7,2
xl,1.5,100183540092.49739,2448424.96,49586503.68,4896849.92,768,512,7,2
l,1.5,45096768535.8882,2448424.96,58195271.68,4896849.92,832,512,7,2
xl,1.5,90193537071.7764,2448424.96,58195271.68,4896849.92,832,512,7,2
l,1.5,43011771428.91572,3098787.84,58195271.68,6197575.68,832,576,7,2
xl,1.5,86023542857.83144,3098787.84,58195271.68,6197575.68,832,576,7,2
l,1.5,39064989923.10694,3098787.84,67492741.12,6197575.68,896,576,7,2
xl,1.5,78129979846.21388,3098787.84,67492741.12,6197575.68,896,576,7,2
l,1.5,37318677608.34193,3825664.0,67492741.12,7651328.0,896,640,7,2
xl,1.5,74637355216.68385,3825664.0,67492741.12,7651328.0,896,640,7,2
l,1.5,34149631555.52719,3825664.0,77478912.0,7651328.0,960,640,7,2
xl,1.5,68299263111.05438,3825664.0,77478912.0,7651328.0,960,640,7,2
xl,1.5,62681595901.40269,3825664.0,88153784.32,7651328.0,1024,640,7,2
l,1.5,32675775029.02258,4629053.4399999995,77478912.0,9258106.879999999,960,704,7,2
xl,1.5,65351550058.04516,4629053.4399999995,77478912.0,9258106.879999999,960,704,7,2
xl,1.5,60189999590.4215,4629053.4399999995,88153784.32,9258106.879999999,1024,704,7,2
xl,1.5,55570604291.305565,4629053.4399999995,99517358.08,9258106.879999999,1088,704,7,2
xl,1.5,51426928587.99098,4629053.4399999995,111569633.28,9258106.879999999,1152,704,7,2
xl,1.5,53427331625.32901,5508956.16,99517358.08,11017912.32,1088,768,7,2
xl,1.5,49586075435.37115,5508956.16,111569633.28,11017912.32,1152,768,7,2
xl,1.5,46113205309.026245,5508956.16,124310609.92000002,11017912.32,1216,768,7,2
xl,1.5,47731978899.05001,6465372.16,111569633.28,12930744.32,1152,832,7,2
s,1.5,27425733745.88658,612106.24,14167572.48,1224212.48,384,256,8,2
m,1.5,54851467491.77316,612106.24,14167572.48,1224212.48,384,256,8,2
l,1.5,137128668729.43292,612106.24,14167572.48,1224212.48,384,256,8,2
s,1.5,21145953873.06798,956416.0,19283640.32,1912832.0,448,320,8,2
m,1.5,42291907746.13596,956416.0,19283640.32,1912832.0,448,320,8,2
l,1.5,105729769365.3399,956416.0,19283640.32,1912832.0,448,320,8,2
s,1.5,16800936378.818285,1377239.04,25186795.52,2754478.08,512,384,8,2
m,1.5,33601872757.63657,1377239.04,25186795.52,2754478.08,512,384,8,2
l,1.5,84004681894.09143,1377239.04,25186795.52,2754478.08,512,384,8,2
xl,1.5,168009363788.18286,1377239.04,25186795.52,2754478.08,512,384,8,2
s,1.5,14491189078.809256,1377239.04,31877038.08,2754478.08,576,384,8,2
m,1.5,28982378157.61851,1377239.04,31877038.08,2754478.08,576,384,8,2
l,1.5,72455945394.04628,1377239.04,31877038.08,2754478.08,576,384,8,2
xl,1.5,144911890788.09256,1377239.04,31877038.08,2754478.08,576,384,8,2
s,1.5,13670078444.11568,1874575.3599999999,31877038.08,3749150.7199999997,576,448,8,2
m,1.5,27340156888.23136,1874575.3599999999,31877038.08,3749150.7199999997,576,448,8,2
l,1.5,68350392220.5784,1874575.3599999999,31877038.08,3749150.7199999997,576,448,8,2
xl,1.5,136700784441.1568,1874575.3599999999,31877038.08,3749150.7199999997,576,448,8,2
s,1.5,11986596944.976181,1874575.3599999999,39354368.0,3749150.7199999997,640,448,8,2
m,1.5,23973193889.952362,1874575.3599999999,39354368.0,3749150.7199999997,640,448,8,2
l,1.5,59932984724.880905,1874575.3599999999,39354368.0,3749150.7199999997,640,448,8,2
xl,1.5,119865969449.76181,1874575.3599999999,39354368.0,3749150.7199999997,640,448,8,2
l,1.5,50379135864.73032,2448424.96,47618785.28,4896849.92,704,512,8,2
xl,1.5,100758271729.46065,2448424.96,47618785.28,4896849.92,704,512,8,2
l,1.5,45006260838.947815,2448424.96,56670289.92,4896849.92,768,512,8,2
xl,1.5,90012521677.89563,2448424.96,56670289.92,4896849.92,768,512,8,2
l,1.5,42929431663.33988,3098787.84,56670289.92,6197575.68,768,576,8,2
xl,1.5,85858863326.67976,3098787.84,56670289.92,6197575.68,768,576,8,2
l,1.5,38728011507.86193,3098787.84,66508881.92,6197575.68,832,576,8,2
xl,1.5,77456023015.72386,3098787.84,66508881.92,6197575.68,832,576,8,2
l,1.5,35080847834.09884,3098787.84,77134561.28,6197575.68,896,576,8,2
xl,1.5,70161695668.19768,3098787.84,77134561.28,6197575.68,896,576,8,2
l,1.5,37011034887.87008,3825664.0,66508881.92,7651328.0,832,640,8,2
xl,1.5,74022069775.74016,3825664.0,66508881.92,7651328.0,832,640,8,2
l,1.5,33666125615.489056,3825664.0,77134561.28,7651328.0,896,640,8,2
xl,1.5,67332251230.97811,3825664.0,77134561.28,7651328.0,896,640,8,2
xl,1.5,61452722699.75085,3825664.0,88547328.0,7651328.0,960,640,8,2
xl,1.5,59055996491.45773,4629053.4399999995,88547328.0,9258106.879999999,960,704,8,2
xl,1.5,54251299079.77162,4629053.4399999995,100747182.08,9258106.879999999,1024,704,8,2
xl,1.5,49972255593.58902,4629053.4399999995,113734123.52,9258106.879999999,1088,704,8,2
xl,1.5,52206713388.38752,5508956.16,100747182.08,11017912.32,1024,768,8,2
xl,1.5,48232309351.40565,5508956.16,113734123.52,11017912.32,1088,768,8,2
xl,1.5,46476276840.26714,6465372.16,113734123.52,12930744.32,1088,832,8,2
s,1.5,43701455374.53503,344309.76,7083786.24,688619.52,256,192,9,2
m,1.5,87402910749.07005,344309.76,7083786.24,688619.52,256,192,9,2
s,1.5,30946165594.803726,612106.24,11068416.0,1224212.48,320,256,9,2
m,1.5,61892331189.60745,612106.24,11068416.0,1224212.48,320,256,9,2
s,1.5,19176208727.674934,956416.0,21694095.36,1912832.0,448,320,9,2
m,1.5,38352417455.34987,956416.0,21694095.36,1912832.0,448,320,9,2
l,1.5,95881043638.37468,956416.0,21694095.36,1912832.0,448,320,9,2
s,1.5,15275208121.166801,1377239.04,28335144.96,2754478.08,512,384,9,2
m,1.5,30550416242.333603,1377239.04,28335144.96,2754478.08,512,384,9,2
l,1.5,76376040605.83401,1377239.04,28335144.96,2754478.08,512,384,9,2
xl,1.5,152752081211.66803,1377239.04,28335144.96,2754478.08,512,384,9,2
s,1.5,12455874516.466938,1874575.3599999999,35861667.839999996,3749150.7199999997,576,448,9,2
m,1.5,24911749032.933876,1874575.3599999999,35861667.839999996,3749150.7199999997,576,448,9,2
l,1.5,62279372582.33469,1874575.3599999999,35861667.839999996,3749150.7199999997,576,448,9,2
xl,1.5,124558745164.66937,1874575.3599999999,35861667.839999996,3749150.7199999997,576,448,9,2
s,1.5,10888299758.509008,1874575.3599999999,44273664.0,3749150.7199999997,640,448,9,2
m,1.5,21776599517.018017,1874575.3599999999,44273664.0,3749150.7199999997,640,448,9,2
l,1.5,54441498792.545044,1874575.3599999999,44273664.0,3749150.7199999997,640,448,9,2
xl,1.5,108882997585.09009,1874575.3599999999,44273664.0,3749150.7199999997,640,448,9,2
s,1.5,10351806937.217209,2448424.96,44273664.0,4896849.92,640,512,9,2
m,1.5,20703613874.434418,2448424.96,44273664.0,4896849.92,640,512,9,2
l,1.5,51759034686.08604,2448424.96,44273664.0,4896849.92,640,512,9,2
xl,1.5,103518069372.17207,2448424.96,44273664.0,4896849.92,640,512,9,2
l,1.5,45852517831.15649,2448424.96,53571133.44,4896849.92,704,512,9,2
xl,1.5,91705035662.31297,2448424.96,53571133.44,4896849.92,704,512,9,2
l,1.5,43698721542.931076,3098787.84,53571133.44,6197575.68,704,576,9,2
xl,1.5,87397443085.86215,3098787.84,53571133.44,6197575.68,704,576,9,2
l,1.5,39139228151.475876,3098787.84,63754076.160000004,6197575.68,768,576,9,2
xl,1.5,78278456302.95175,3098787.84,63754076.160000004,6197575.68,768,576,9,2
l,1.5,35220248749.222466,3098787.84,74822492.16,6197575.68,832,576,9,2
xl,1.5,70440497498.44493,3098787.84,74822492.16,6197575.68,832,576,9,2
l,1.5,33794489293.438618,3825664.0,74822492.16,7651328.0,832,640,9,2
xl,1.5,67588978586.877235,3825664.0,74822492.16,7651328.0,832,640,9,2
xl,1.5,61329635285.199646,3825664.0,86776381.44,7651328.0,896,640,9,2
xl,1.5,58942314068.23384,4629053.4399999995,86776381.44,9258106.879999999,896,704,9,2
xl,1.5,53866809901.47329,4629053.4399999995,99615744.0,9258106.879999999,960,704,9,2
xl,1.5,49379250830.58429,4629053.4399999995,113340579.84,9258106.879999999,1024,704,9,2
xl,1.5,51850563708.70965,5508956.16,99615744.0,11017912.32,960,768,9,2
xl,1.5,47679652107.77567,5508956.16,113340579.84,11017912.32,1024,768,9,2
xl,1.5,45962914949.2985,6465372.16,113340579.84,12930744.32,1024,832,9,2
s,1.5,39891530970.05255,344309.76,7695892.48,688619.52,256,192,10,2
m,1.5,79783061940.1051,344309.76,7695892.48,688619.52,256,192,10,2
s,1.5,28335072278.442623,612106.24,12024832.0,1224212.48,320,256,10,2
m,1.5,56670144556.88525,612106.24,12024832.0,1224212.48,320,256,10,2
s,1.5,21224864157.473415,956416.0,17315758.080000002,1912832.0,384,320,10,2
m,1.5,42449728314.94683,956416.0,17315758.080000002,1912832.0,384,320,10,2
l,1.5,106124320787.36708,956416.0,17315758.080000002,1912832.0,384,320,10,2
s,1.5,17542157321.24549,956416.0,23568670.72,1912832.0,448,320,10,2
m,1.5,35084314642.49098,956416.0,23568670.72,1912832.0,448,320,10,2
l,1.5,87710786606.22746,956416.0,23568670.72,1912832.0,448,320,10,2
xl,1.5,175421573212.45493,956416.0,23568670.72,1912832.0,448,320,10,2
s,1.5,16519155312.181765,1377239.04,23568670.72,2754478.08,448,384,10,2
m,1.5,33038310624.36353,1377239.04,23568670.72,2754478.08,448,384,10,2
l,1.5,82595776560.90881,1377239.04,23568670.72,2754478.08,448,384,10,2
xl,1.5,165191553121.81763,1377239.04,23568670.72,2754478.08,448,384,10,2
s,1.5,14003519282.12529,1377239.04,30783569.92,2754478.08,512,384,10,2
m,1.5,28007038564.25058,1377239.04,30783569.92,2754478.08,512,384,10,2
l,1.5,70017596410.62645,1377239.04,30783569.92,2754478.08,512,384,10,2
xl,1.5,140035192821.2529,1377239.04,30783569.92,2754478.08,512,384,10,2
s,1.5,11439770993.136562,1874575.3599999999,38960455.67999999,3749150.7199999997,576,448,10,2
m,1.5,22879541986.273125,1874575.3599999999,38960455.67999999,3749150.7199999997,576,448,10,2
l,1.5,57198854965.68281,1874575.3599999999,38960455.67999999,3749150.7199999997,576,448,10,2
xl,1.5,114397709931.36562,1874575.3599999999,38960455.67999999,3749150.7199999997,576,448,10,2
l,1.5,47611483523.71266,2448424.96,48099328.0,4896849.92,640,512,10,2
xl,1.5,95222967047.42532,2448424.96,48099328.0,4896849.92,640,512,10,2
l,1.5,42072279702.28981,2448424.96,58200186.879999995,4896849.92,704,512,10,2
xl,1.5,84144559404.57962,2448424.96,58200186.879999995,4896849.92,704,512,10,2
l,1.5,40251927469.14188,3098787.84,58200186.879999995,6197575.68,704,576,10,2
xl,1.5,80503854938.28375,3098787.84,58200186.879999995,6197575.68,704,576,10,2
l,1.5,35963997021.45831,3098787.84,69263032.32000001,6197575.68,768,576,10,2
xl,1.5,71927994042.91663,3098787.84,69263032.32000001,6197575.68,768,576,10,2
l,1.5,34478655803.31937,3825664.0,69263032.32000001,7651328.0,768,640,10,2
xl,1.5,68957311606.63873,3825664.0,69263032.32000001,7651328.0,768,640,10,2
l,1.5,31092325492.864944,3825664.0,81287864.32,7651328.0,832,640,10,2
xl,1.5,62184650985.72989,3825664.0,81287864.32,7651328.0,832,640,10,2
xl,1.5,56309673440.88387,3825664.0,94274682.88,7651328.0,896,640,10,2
l,1.5,29865816092.302036,4629053.4399999995,81287864.32,9258106.879999999,832,704,10,2
xl,1.5,59731632184.60407,4629053.4399999995,81287864.32,9258106.879999999,832,704,10,2
xl,1.5,54290739722.30739,4629053.4399999995,94274682.88,9258106.879999999,896,704,10,2
xl,1.5,49515901176.82043,4629053.4399999995,108223488.0,9258106.879999999,960,704,10,2
xl,1.5,52243236225.43191,5508956.16,94274682.88,11017912.32,896,768,10,2
xl,1.5,47807045392.0507,5508956.16,108223488.0,11017912.32,960,768,10,2
xl,1.5,43875062994.345634,5508956.16,123134279.68,11017912.32,1024,768,10,2
xl,1.5,46081288241.828896,6465372.16,108223488.0,12930744.32,960,832,10,2
