FLOPs,Patch size,Tokens,Encoder parameters,Global transformer parameters,Decoder parameters,Global transformer dimension,Encoder/Decoder dimension,Global transformer layers,Decoder layers
s,1,15102177709.862278,198272,25192448,991360,1024,128,2,5
m,1,30204355419.724556,198272,25192448,991360,1024,128,2,5
l,1,75510888549.31139,198272,25192448,991360,1024,128,2,5
xl,1,151021777098.62277,198272,25192448,991360,1024,128,2,5
s,1,10667633410.27684,198272,39354880,991360,1280,128,2,5
m,1,21335266820.55368,198272,39354880,991360,1280,128,2,5
l,1,53338167051.3842,198272,39354880,991360,1280,128,2,5
xl,1,106676334102.7684,198272,39354880,991360,1280,128,2,5
s,1,7937390876.750226,198272,56663040,991360,1536,128,2,5
m,1,15874781753.500452,198272,56663040,991360,1536,128,2,5
l,1,39686954383.75113,198272,56663040,991360,1536,128,2,5
xl,1,79373908767.50226,198272,56663040,991360,1536,128,2,5
s,1,6136887347.171867,198272,77116928,991360,1792,128,2,5
m,1,12273774694.343735,198272,77116928,991360,1792,128,2,5
l,1,30684436735.859337,198272,77116928,991360,1792,128,2,5
xl,1,61368873471.71867,198272,77116928,991360,1792,128,2,5
s,1,4886851788.4313755,198272,100716544,991360,2048,128,2,5
m,1,9773703576.862751,198272,100716544,991360,2048,128,2,5
l,1,24434258942.156876,198272,100716544,991360,2048,128,2,5
xl,1,48868517884.31375,198272,100716544,991360,2048,128,2,5
s,1,4689615016.372384,789760,100716544,3948800,2048,256,2,5
m,1,9379230032.744768,789760,100716544,3948800,2048,256,2,5
l,1,23448075081.86192,789760,100716544,3948800,2048,256,2,5
xl,1,46896150163.72384,789760,100716544,3948800,2048,256,2,5
s,1,11973372751.59217,198272,28351488,991360,768,128,4,5
m,1,23946745503.18434,198272,28351488,991360,768,128,4,5
l,1,59866863757.96085,198272,28351488,991360,768,128,4,5
xl,1,119733727515.9217,198272,28351488,991360,768,128,4,5
s,1,7743939035.747014,198272,50384896,991360,1024,128,4,5
m,1,15487878071.494028,198272,50384896,991360,1024,128,4,5
l,1,38719695178.73507,198272,50384896,991360,1024,128,4,5
xl,1,77439390357.47014,198272,50384896,991360,1024,128,4,5
s,1,5429323070.262217,198272,78709760,991360,1280,128,4,5
m,1,10858646140.524433,198272,78709760,991360,1280,128,4,5
l,1,27146615351.31108,198272,78709760,991360,1280,128,4,5
xl,1,54293230702.62216,198272,78709760,991360,1280,128,4,5
s,1,4021329388.441374,198272,113326080,991360,1536,128,4,5
m,1,8042658776.882748,198272,113326080,991360,1536,128,4,5
l,1,20106646942.20687,198272,113326080,991360,1536,128,4,5
xl,1,40213293884.41374,198272,113326080,991360,1536,128,4,5
l,1,15499063906.137074,198272,154233856,991360,1792,128,4,5
xl,1,30998127812.274147,198272,154233856,991360,1792,128,4,5
xl,1,24632759062.924126,198272,201433088,991360,2048,128,4,5
m,1,7773620238.377753,789760,113326080,3948800,1536,256,4,5
l,1,19434050595.944386,789760,113326080,3948800,1536,256,4,5
xl,1,38868101191.88877,789760,113326080,3948800,1536,256,4,5
l,1,15096320806.816948,789760,154233856,3948800,1792,256,4,5
xl,1,30192641613.633896,789760,154233856,3948800,1792,256,4,5
xl,1,24121387156.523026,789760,201433088,3948800,2048,256,4,5
xl,1,23338057703.030273,1774464,201433088,8872320,2048,384,4,5
s,1,8088717572.007705,198272,42527232,991360,768,128,6,5
m,1,16177435144.01541,198272,42527232,991360,768,128,6,5
l,1,40443587860.03853,198272,42527232,991360,768,128,6,5
xl,1,80887175720.07706,198272,42527232,991360,768,128,6,5
s,1,5206953490.658309,198272,75577344,991360,1024,128,6,5
m,1,10413906981.316618,198272,75577344,991360,1024,128,6,5
l,1,26034767453.291546,198272,75577344,991360,1024,128,6,5
xl,1,52069534906.58309,198272,75577344,991360,1024,128,6,5
m,1,7282564189.685978,198272,118064640,991360,1280,128,6,5
l,1,18206410474.214947,198272,118064640,991360,1280,128,6,5
xl,1,36412820948.42989,198272,118064640,991360,1280,128,6,5
l,1,13463952196.033075,198272,169989120,991360,1536,128,6,5
xl,1,26927904392.06615,198272,169989120,991360,1536,128,6,5
xl,1,20736081112.91377,198272,231350784,991360,1792,128,6,5
xl,1,16466429613.311325,198272,302149632,991360,2048,128,6,5
m,1,7061275603.055532,789760,118064640,3948800,1280,256,6,5
l,1,17653189007.638832,789760,118064640,3948800,1280,256,6,5
xl,1,35306378015.277664,789760,118064640,3948800,1280,256,6,5
l,1,13158989564.773895,789760,169989120,3948800,1536,256,6,5
xl,1,26317979129.54779,789760,169989120,3948800,1536,256,6,5
xl,1,20372507220.01656,789760,231350784,3948800,1792,256,6,5
xl,1,16236333683.102928,789760,302149632,3948800,2048,256,6,5
xl,1,19810908209.374104,1774464,231350784,8872320,1792,384,6,5
xl,1,15877617660.260035,1774464,302149632,8872320,2048,384,6,5
s,1,10942773322.464096,198272,25219072,991360,512,128,8,5
m,1,21885546644.928192,198272,25219072,991360,512,128,8,5
l,1,54713866612.32048,198272,25219072,991360,512,128,8,5
xl,1,109427733224.64096,198272,25219072,991360,512,128,8,5
s,1,6107268255.064538,198272,56702976,991360,768,128,8,5
m,1,12214536510.129076,198272,56702976,991360,768,128,8,5
l,1,30536341275.32269,198272,56702976,991360,768,128,8,5
xl,1,61072682550.64538,198272,56702976,991360,768,128,8,5
m,1,7844105863.550712,198272,100769792,991360,1024,128,8,5
l,1,19610264658.876778,198272,100769792,991360,1024,128,8,5
xl,1,39220529317.753555,198272,100769792,991360,1024,128,8,5
l,1,13695926073.379309,198272,157419520,991360,1280,128,8,5
xl,1,27391852146.758617,198272,157419520,991360,1280,128,8,5
xl,1,20240866964.58632,198272,226652160,991360,1536,128,8,5
xl,1,15578695443.533186,198272,308467712,991360,1792,128,8,5
m,1,7587975596.099222,789760,100769792,3948800,1024,256,8,5
l,1,18969938990.248055,789760,100769792,3948800,1024,256,8,5
xl,1,37939877980.49611,789760,100769792,3948800,1024,256,8,5
l,1,13380487455.653852,789760,157419520,3948800,1280,256,8,5
xl,1,26760974911.307705,789760,157419520,3948800,1280,256,8,5
xl,1,19894306166.814743,789760,226652160,3948800,1536,256,8,5
xl,1,15372585225.120565,789760,308467712,3948800,1792,256,8,5
xl,1,19358415645.316658,1774464,226652160,8872320,1536,384,8,5
xl,1,15050641918.306175,1774464,308467712,8872320,1792,384,8,5
s,1,8817864400.71536,198272,31523840,991360,512,128,10,5
m,1,17635728801.43072,198272,31523840,991360,512,128,10,5
l,1,44089322003.576805,198272,31523840,991360,512,128,10,5
xl,1,88178644007.15361,198272,31523840,991360,512,128,10,5
s,1,4905575905.192564,198272,70878720,991360,768,128,10,5
m,1,9811151810.385128,198272,70878720,991360,768,128,10,5
l,1,24527879525.96282,198272,70878720,991360,768,128,10,5
xl,1,49055759051.92564,198272,70878720,991360,768,128,10,5
l,1,15728901980.704136,198272,125962240,991360,1024,128,10,5
xl,1,31457803961.40827,198272,125962240,991360,1024,128,10,5
xl,1,21953145734.746147,198272,196774400,991360,1280,128,10,5
xl,1,16214341032.058113,198272,283315200,991360,1536,128,10,5
l,1,15314285400.649149,789760,125962240,3948800,1024,256,10,5
xl,1,30628570801.298298,789760,125962240,3948800,1024,256,10,5
xl,1,21546059753.1187,789760,196774400,3948800,1280,256,10,5
xl,1,15991188624.794622,789760,283315200,3948800,1536,256,10,5
xl,1,20918891599.97724,1774464,196774400,8872320,1280,384,10,5
xl,1,15643106896.23239,1774464,283315200,8872320,1536,384,10,5
s,1,7384009614.098661,198272,37828608,991360,512,128,12,5
m,1,14768019228.197323,198272,37828608,991360,512,128,12,5
l,1,36920048070.49331,198272,37828608,991360,512,128,12,5
xl,1,73840096140.98662,198272,37828608,991360,512,128,12,5
s,1,4099032628.2997212,198272,85054464,991360,768,128,12,5
m,1,8198065256.5994425,198272,85054464,991360,768,128,12,5
l,1,20495163141.498608,198272,85054464,991360,768,128,12,5
xl,1,40990326282.997215,198272,85054464,991360,768,128,12,5
l,1,13130121902.992895,198272,151154688,991360,1024,128,12,5
xl,1,26260243805.98579,198272,151154688,991360,1024,128,12,5
xl,1,18316390232.77465,198272,236129280,991360,1280,128,12,5
xl,1,13524004046.901333,198272,339978240,991360,1536,128,12,5
m,1,7918709693.767659,789760,85054464,3948800,768,256,12,5
l,1,19796774234.419147,789760,85054464,3948800,768,256,12,5
xl,1,39593548468.838295,789760,85054464,3948800,768,256,12,5
xl,1,25679863075.791836,789760,151154688,3948800,1024,256,12,5
xl,1,18032134937.841354,789760,236129280,3948800,1280,256,12,5
xl,1,13368405183.912466,789760,339978240,3948800,1536,256,12,5
xl,1,17590758462.843533,1774464,236129280,8872320,1280,384,12,5
xl,1,13124268978.217913,1774464,339978240,8872320,1536,384,12,5
s,1,6351246490.555239,198272,44133376,991360,512,128,14,5
m,1,12702492981.110477,198272,44133376,991360,512,128,14,5
l,1,31756232452.776196,198272,44133376,991360,512,128,14,5
xl,1,63512464905.55239,198272,44133376,991360,512,128,14,5
m,1,7040509854.573482,198272,99230208,991360,768,128,14,5
l,1,17601274636.433704,198272,99230208,991360,768,128,14,5
xl,1,35202549272.86741,198272,99230208,991360,768,128,14,5
xl,1,22536663365.13563,198272,176347136,991360,1024,128,14,5
xl,1,15713323017.348213,198272,275484160,991360,1280,128,14,5
m,1,6833477875.057346,789760,99230208,3948800,768,256,14,5
l,1,17083694687.643366,789760,99230208,3948800,768,256,14,5
xl,1,34167389375.28673,789760,99230208,3948800,768,256,14,5
xl,1,22107860324.16561,789760,176347136,3948800,1024,256,14,5
xl,1,15503659061.985464,789760,275484160,3948800,1280,256,14,5
xl,1,15176260734.472742,1774464,275484160,8872320,1280,384,14,5
s,1,5571929599.338144,198272,50438144,991360,512,128,16,5
m,1,11143859198.676289,198272,50438144,991360,512,128,16,5
l,1,27859647996.69072,198272,50438144,991360,512,128,16,5
xl,1,55719295993.38144,198272,50438144,991360,512,128,16,5
l,1,15423498165.862276,198272,113405952,991360,768,128,16,5
xl,1,30846996331.724552,198272,113405952,991360,768,128,16,5
xl,1,19737918341.23166,198272,201539584,991360,1024,128,16,5
xl,1,13758069823.371038,198272,314839040,991360,1280,128,16,5
l,1,15024622110.32044,789760,113405952,3948800,768,256,16,5
xl,1,30049244220.64088,789760,113405952,3948800,768,256,16,5
xl,1,19408226106.76574,789760,201539584,3948800,1024,256,16,5
xl,1,13597070377.39202,789760,314839040,3948800,1280,256,16,5
xl,1,18897866736.235004,1774464,201539584,8872320,1024,384,16,5
xl,1,13344589761.689114,1774464,314839040,8872320,1280,384,16,5
s,1,4962959645.50016,198272,56742912,991360,512,128,18,5
m,1,9925919291.00032,198272,56742912,991360,512,128,18,5
l,1,24814798227.5008,198272,56742912,991360,512,128,18,5
xl,1,49629596455.0016,198272,56742912,991360,512,128,18,5
l,1,13725290743.382828,198272,127581696,991360,768,128,18,5
xl,1,27450581486.765656,198272,127581696,991360,768,128,18,5
xl,1,17557515330.098705,198272,226732032,991360,1024,128,18,5
l,1,13408513689.64195,789760,127581696,3948800,768,256,18,5
xl,1,26817027379.2839,789760,127581696,3948800,768,256,18,5
xl,1,17296158271.415855,789760,226732032,3948800,1024,256,18,5
xl,1,16889669759.124664,1774464,226732032,8872320,1024,384,18,5
s,1,4473986595.506658,198272,63047680,991360,512,128,20,5
m,1,8947973191.013315,198272,63047680,991360,512,128,20,5
l,1,22369932977.533287,198272,63047680,991360,512,128,20,5
xl,1,44739865955.066574,198272,63047680,991360,512,128,20,5
xl,1,24727909905.264805,198272,141757440,991360,768,128,20,5
xl,1,15810919015.612688,198272,251924480,991360,1024,128,20,5
xl,1,24212621059.231277,789760,141757440,3948800,768,256,20,5
xl,1,15598660102.550833,789760,251924480,3948800,1024,256,20,5
xl,1,15267279996.052492,1774464,251924480,8872320,1024,384,20,5
s,1,4072723595.131916,198272,69352448,991360,512,128,22,5
m,1,8145447190.263832,198272,69352448,991360,512,128,22,5
l,1,20363617975.65958,198272,69352448,991360,512,128,22,5
xl,1,40727235951.31916,198272,69352448,991360,512,128,22,5
xl,1,22496596714.848976,198272,155933184,991360,768,128,22,5
xl,1,14380379584.959696,198272,277116928,991360,1024,128,22,5
xl,1,22069302553.541893,789760,155933184,3948800,768,256,22,5
xl,1,14204579029.004978,789760,277116928,3948800,1024,256,22,5
xl,1,13929261460.305439,1774464,277116928,8872320,1024,384,22,5
m,1,7475026832.3563175,198272,75657216,991360,512,128,24,5
l,1,18687567080.890793,198272,75657216,991360,512,128,24,5
xl,1,37375134161.781586,198272,75657216,991360,512,128,24,5
xl,1,20634638274.460896,198272,170108928,991360,768,128,24,5
xl,1,13187226459.998985,198272,302309376,991360,1024,128,24,5
xl,1,20274582071.118954,789760,170108928,3948800,768,256,24,5
xl,1,13039238218.07815,789760,302309376,3948800,1024,256,24,5
s,1,14979689937.195553,198272,25192448,1189632,1024,128,2,6
m,1,29959379874.391106,198272,25192448,1189632,1024,128,2,6
l,1,74898449685.97777,198272,25192448,1189632,1024,128,2,6
xl,1,149796899371.95554,198272,25192448,1189632,1024,128,2,6
s,1,10606372240.561346,198272,39354880,1189632,1280,128,2,6
m,1,21212744481.122692,198272,39354880,1189632,1280,128,2,6
l,1,53031861202.80673,198272,39354880,1189632,1280,128,2,6
xl,1,106063722405.61346,198272,39354880,1189632,1280,128,2,6
s,1,7903424952.364477,198272,56663040,1189632,1536,128,2,6
m,1,15806849904.728954,198272,56663040,1189632,1536,128,2,6
l,1,39517124761.82239,198272,56663040,1189632,1536,128,2,6
xl,1,79034249523.64478,198272,56663040,1189632,1536,128,2,6
s,1,6116563497.366844,198272,77116928,1189632,1792,128,2,6
m,1,12233126994.733688,198272,77116928,1189632,1792,128,2,6
l,1,30582817486.83422,198272,77116928,1189632,1792,128,2,6
xl,1,61165634973.66844,198272,77116928,1189632,1792,128,2,6
s,1,4873955608.792148,198272,100716544,1189632,2048,128,2,6
m,1,9747911217.584295,198272,100716544,1189632,2048,128,2,6
l,1,24369778043.96074,198272,100716544,1189632,2048,128,2,6
xl,1,48739556087.92148,198272,100716544,1189632,2048,128,2,6
s,1,4646737885.917157,789760,100716544,4738560,2048,256,2,6
m,1,9293475771.834314,789760,100716544,4738560,2048,256,2,6
l,1,23233689429.58579,789760,100716544,4738560,2048,256,2,6
xl,1,46467378859.17158,789760,100716544,4738560,2048,256,2,6
s,1,11896250986.912981,198272,28351488,1189632,768,128,4,6
m,1,23792501973.825962,198272,28351488,1189632,768,128,4,6
l,1,59481254934.56491,198272,28351488,1189632,768,128,4,6
xl,1,118962509869.12982,198272,28351488,1189632,768,128,4,6
s,1,7711605213.193187,198272,50384896,1189632,1024,128,4,6
m,1,15423210426.386374,198272,50384896,1189632,1024,128,4,6
l,1,38558026065.965935,198272,50384896,1189632,1024,128,4,6
xl,1,77116052131.93187,198272,50384896,1189632,1024,128,4,6
s,1,5413409526.422809,198272,78709760,1189632,1280,128,4,6
m,1,10826819052.845617,198272,78709760,1189632,1280,128,4,6
l,1,27067047632.114044,198272,78709760,1189632,1280,128,4,6
xl,1,54134095264.22809,198272,78709760,1189632,1280,128,4,6
s,1,4012592735.833236,198272,113326080,1189632,1536,128,4,6
m,1,8025185471.666472,198272,113326080,1189632,1536,128,4,6
l,1,20062963679.166183,198272,113326080,1189632,1536,128,4,6
xl,1,40125927358.33237,198272,113326080,1189632,1536,128,4,6
l,1,15473094442.619032,198272,154233856,1189632,1792,128,4,6
xl,1,30946188885.238064,198272,154233856,1189632,1792,128,4,6
xl,1,24599949713.766792,198272,201433088,1189632,2048,128,4,6
m,1,7714620749.243967,789760,113326080,4738560,1536,256,4,6
l,1,19286551873.109917,789760,113326080,4738560,1536,256,4,6
xl,1,38573103746.21983,789760,113326080,4738560,1536,256,4,6
l,1,15007166942.702492,789760,154233856,4738560,1792,256,4,6
xl,1,30014333885.404984,789760,154233856,4738560,1792,256,4,6
xl,1,24007443920.915714,789760,201433088,4738560,2048,256,4,6
xl,1,23107325206.949203,1774464,201433088,10646784,2048,384,4,6
s,1,8053447055.737069,198272,42527232,1189632,768,128,6,6
m,1,16106894111.474138,198272,42527232,1189632,768,128,6,6
l,1,40267235278.68535,198272,42527232,1189632,768,128,6,6
xl,1,80534470557.3707,198272,42527232,1189632,768,128,6,6
s,1,5192315041.43052,198272,75577344,1189632,1024,128,6,6
m,1,10384630082.86104,198272,75577344,1189632,1024,128,6,6
l,1,25961575207.1526,198272,75577344,1189632,1024,128,6,6
xl,1,51923150414.3052,198272,75577344,1189632,1024,128,6,6
m,1,7268234605.12321,198272,118064640,1189632,1280,128,6,6
l,1,18170586512.808025,198272,118064640,1189632,1280,128,6,6
xl,1,36341173025.61605,198272,118064640,1189632,1280,128,6,6
l,1,13444350541.92994,198272,169989120,1189632,1536,128,6,6
xl,1,26888701083.85988,198272,169989120,1189632,1536,128,6,6
xl,1,20712826111.01942,198272,231350784,1189632,1792,128,6,6
xl,1,16451761907.364103,198272,302149632,1189632,2048,128,6,6
m,1,7012559775.059523,789760,118064640,4738560,1280,256,6,6
l,1,17531399437.648808,789760,118064640,4738560,1280,256,6,6
xl,1,35062798875.297615,789760,118064640,4738560,1280,256,6,6
l,1,13091198525.407398,789760,169989120,4738560,1536,256,6,6
xl,1,26182397050.814796,789760,169989120,4738560,1536,256,6,6
xl,1,20291169516.78057,789760,231350784,4738560,1792,256,6,6
xl,1,16184628859.787977,789760,302149632,4738560,2048,256,6,6
xl,1,19644399284.327816,1774464,231350784,10646784,1792,384,6,6
xl,1,15770484294.66673,1774464,302149632,10646784,2048,384,6,6
s,1,10878320846.761532,198272,25219072,1189632,512,128,8,6
m,1,21756641693.523064,198272,25219072,1189632,512,128,8,6
l,1,54391604233.80766,198272,25219072,1189632,512,128,8,6
xl,1,108783208467.61533,198272,25219072,1189632,512,128,8,6
s,1,6087139792.285363,198272,56702976,1189632,768,128,8,6
m,1,12174279584.570726,198272,56702976,1189632,768,128,8,6
l,1,30435698961.42682,198272,56702976,1189632,768,128,8,6
xl,1,60871397922.85364,198272,56702976,1189632,768,128,8,6
m,1,7827483760.78909,198272,100769792,1189632,1024,128,8,6
l,1,19568709401.972725,198272,100769792,1189632,1024,128,8,6
xl,1,39137418803.94545,198272,100769792,1189632,1024,128,8,6
l,1,13675643665.50312,198272,157419520,1189632,1280,128,8,6
xl,1,27351287331.00624,198272,157419520,1189632,1280,128,8,6
xl,1,20218708846.84001,198272,226652160,1189632,1536,128,8,6
xl,1,15565565999.344702,198272,308467712,1189632,1792,128,8,6
m,1,7531750243.787692,789760,100769792,4738560,1024,256,8,6
l,1,18829375609.46923,789760,100769792,4738560,1024,256,8,6
xl,1,37658751218.93846,789760,100769792,4738560,1024,256,8,6
l,1,13310401109.46985,789760,157419520,4738560,1280,256,8,6
xl,1,26620802218.9397,789760,157419520,4738560,1280,256,8,6
xl,1,19816734836.234505,789760,226652160,4738560,1536,256,8,6
xl,1,15326227456.713339,789760,308467712,4738560,1792,256,8,6
xl,1,19199395646.031708,1774464,226652160,10646784,1536,384,8,6
xl,1,14954344028.77589,1774464,308467712,10646784,1792,384,8,6
s,1,8775964920.853434,198272,31523840,1189632,512,128,10,6
m,1,17551929841.706867,198272,31523840,1189632,512,128,10,6
l,1,43879824604.267166,198272,31523840,1189632,512,128,10,6
xl,1,87759649208.53433,198272,31523840,1189632,512,128,10,6
s,1,4892580843.440231,198272,70878720,1189632,768,128,10,6
m,1,9785161686.880463,198272,70878720,1189632,768,128,10,6
l,1,24462904217.201157,198272,70878720,1189632,768,128,10,6
xl,1,48925808434.40231,198272,70878720,1189632,768,128,10,6
l,1,15702157260.345888,198272,125962240,1189632,1024,128,10,6
xl,1,31404314520.691776,198272,125962240,1189632,1024,128,10,6
xl,1,21927082522.03128,198272,196774400,1189632,1280,128,10,6
xl,1,16200118797.415155,198272,283315200,1189632,1536,128,10,6
l,1,15222546320.381748,789760,125962240,4738560,1024,256,10,6
xl,1,30445092640.763496,789760,125962240,4738560,1024,256,10,6
xl,1,21455102194.942776,789760,196774400,4738560,1280,256,10,6
xl,1,15941030938.352844,789760,283315200,4738560,1536,256,10,6
xl,1,20733324071.342804,1774464,196774400,10646784,1280,384,10,6
xl,1,15539104492.099024,1774464,283315200,10646784,1536,384,10,6
s,1,7354605913.150224,198272,37828608,1189632,512,128,12,6
m,1,14709211826.300447,198272,37828608,1189632,512,128,12,6
l,1,36773029565.75112,198272,37828608,1189632,512,128,12,6
xl,1,73546059131.50224,198272,37828608,1189632,512,128,12,6
s,1,4089955462.021001,198272,85054464,1189632,768,128,12,6
m,1,8179910924.042002,198272,85054464,1189632,768,128,12,6
l,1,20449777310.105003,198272,85054464,1189632,768,128,12,6
xl,1,40899554620.21001,198272,85054464,1189632,768,128,12,6
l,1,13111479547.182781,198272,151154688,1189632,1024,128,12,6
xl,1,26222959094.365562,198272,151154688,1189632,1024,128,12,6
xl,1,18298243450.604874,198272,236129280,1189632,1280,128,12,6
xl,1,13514108426.481218,198272,339978240,1189632,1536,128,12,6
m,1,7857495950.560887,789760,85054464,4738560,768,256,12,6
l,1,19643739876.402218,789760,85054464,4738560,768,256,12,6
xl,1,39287479752.804436,789760,85054464,4738560,768,256,12,6
xl,1,25550759916.39301,789760,151154688,4738560,1024,256,12,6
xl,1,17968382546.576923,789760,236129280,4738560,1280,256,12,6
xl,1,13333333333.333334,789760,339978240,4738560,1536,256,12,6
xl,1,17459354901.139824,1774464,236129280,10646784,1280,384,12,6
xl,1,13050984369.974066,1774464,339978240,10646784,1536,384,12,6
s,1,6329480553.202677,198272,44133376,1189632,512,128,14,6
m,1,12658961106.405354,198272,44133376,1189632,512,128,14,6
l,1,31647402766.013382,198272,44133376,1189632,512,128,14,6
xl,1,63294805532.026764,198272,44133376,1189632,512,128,14,6
m,1,7027116123.262588,198272,99230208,1189632,768,128,14,6
l,1,17567790308.156467,198272,99230208,1189632,768,128,14,6
xl,1,35135580616.312935,198272,99230208,1189632,768,128,14,6
xl,1,22509197077.852432,198272,176347136,1189632,1024,128,14,6
xl,1,15699965766.538645,198272,275484160,1189632,1280,128,14,6
m,1,6787844350.059016,789760,99230208,4738560,768,256,14,6
l,1,16969610875.147541,789760,99230208,4738560,768,256,14,6
xl,1,33939221750.295082,789760,99230208,4738560,768,256,14,6
xl,1,22012108138.689945,789760,176347136,4738560,1024,256,14,6
xl,1,15456508599.75408,789760,275484160,4738560,1280,256,14,6
xl,1,15078353881.87275,1774464,275484160,10646784,1280,384,14,6
s,1,5555170397.074692,198272,50438144,1189632,512,128,16,6
m,1,11110340794.149384,198272,50438144,1189632,512,128,16,6
l,1,27775851985.37346,198272,50438144,1189632,512,128,16,6
xl,1,55551703970.74692,198272,50438144,1189632,512,128,16,6
l,1,15397781103.37001,198272,113405952,1189632,768,128,16,6
xl,1,30795562206.74002,198272,113405952,1189632,768,128,16,6
xl,1,19716847146.79871,198272,201539584,1189632,1024,128,16,6
xl,1,13747828832.88808,198272,314839040,1189632,1280,128,16,6
l,1,14936310615.611155,789760,113405952,4738560,768,256,16,6
xl,1,29872621231.22231,789760,113405952,4738560,768,256,16,6
xl,1,19334392053.70717,789760,201539584,4738560,1024,256,16,6
xl,1,13560790092.855612,789760,314839040,4738560,1280,256,16,6
xl,1,18746293482.85257,1774464,201539584,10646784,1024,384,16,6
xl,1,13268831103.872486,1774464,314839040,10646784,1280,384,16,6
s,1,4949659194.18598,198272,56742912,1189632,512,128,18,6
m,1,9899318388.37196,198272,56742912,1189632,512,128,18,6
l,1,24748295970.929897,198272,56742912,1189632,512,128,18,6
xl,1,49496591941.859795,198272,56742912,1189632,512,128,18,6
l,1,13704921334.1901,198272,127581696,1189632,768,128,18,6
xl,1,27409842668.3802,198272,127581696,1189632,768,128,18,6
xl,1,17540840408.887375,198272,226732032,1189632,1024,128,18,6
l,1,13338134208.007627,789760,127581696,4738560,768,256,18,6
xl,1,26676268416.015255,789760,127581696,4738560,768,256,18,6
xl,1,17237495286.57929,789760,226732032,4738560,1024,256,18,6
xl,1,16768495704.421164,1774464,226732032,10646784,1024,384,18,6
s,1,4463175021.301842,198272,63047680,1189632,512,128,20,6
m,1,8926350042.603683,198272,63047680,1189632,512,128,20,6
l,1,22315875106.50921,198272,63047680,1189632,512,128,20,6
xl,1,44631750213.01842,198272,63047680,1189632,512,128,20,6
xl,1,24694846766.30267,198272,141757440,1189632,768,128,20,6
xl,1,15797395396.219402,198272,251924480,1189632,1024,128,20,6
xl,1,24097816313.72041,789760,141757440,4738560,768,256,20,6
xl,1,15550930916.04687,789760,251924480,4738560,1024,256,20,6
xl,1,15168199067.347483,1774464,251924480,10646784,1024,384,20,6
s,1,4063762448.442233,198272,69352448,1189632,512,128,22,6
m,1,8127524896.884466,198272,69352448,1189632,512,128,22,6
l,1,20318812242.211166,198272,69352448,1189632,512,128,22,6
xl,1,40637624484.42233,198272,69352448,1189632,512,128,22,6
xl,1,22469227942.947575,198272,155933184,1189632,768,128,22,6
xl,1,14369191570.429869,198272,277116928,1189632,1024,128,22,6
xl,1,21973883354.048553,789760,155933184,4738560,768,256,22,6
xl,1,14164989078.6801,789760,277116928,4738560,1024,256,22,6
xl,1,13846739414.112331,1774464,277116928,10646784,1024,384,22,6
m,1,7459930623.838787,198272,75657216,1189632,512,128,24,6
l,1,18649826559.59697,198272,75657216,1189632,512,128,24,6
xl,1,37299653119.19394,198272,75657216,1189632,512,128,24,6
xl,1,20611610120.940353,198272,170108928,1189632,768,128,24,6
xl,1,13177817377.2947,198272,302309376,1189632,1024,128,24,6
xl,1,20194022879.407887,789760,170108928,4738560,768,256,24,6
xl,1,13005870079.806517,789760,302309376,4738560,1024,256,24,6
s,1,14859173078.697033,198272,25192448,1387904,1024,128,2,7
m,1,29718346157.394066,198272,25192448,1387904,1024,128,2,7
l,1,74295865393.48517,198272,25192448,1387904,1024,128,2,7
xl,1,148591730786.97034,198272,25192448,1387904,1024,128,2,7
s,1,10545810664.05873,198272,39354880,1387904,1280,128,2,7
m,1,21091621328.11746,198272,39354880,1387904,1280,128,2,7
l,1,52729053320.29365,198272,39354880,1387904,1280,128,2,7
xl,1,105458106640.5873,198272,39354880,1387904,1280,128,2,7
s,1,7869748485.356728,198272,56663040,1387904,1536,128,2,7
m,1,15739496970.713455,198272,56663040,1387904,1536,128,2,7
l,1,39348742426.78364,198272,56663040,1387904,1536,128,2,7
xl,1,78697484853.56728,198272,56663040,1387904,1536,128,2,7
s,1,6096373818.32767,198272,77116928,1387904,1792,128,2,7
m,1,12192747636.65534,198272,77116928,1387904,1792,128,2,7
l,1,30481869091.63835,198272,77116928,1387904,1792,128,2,7
xl,1,60963738183.2767,198272,77116928,1387904,1792,128,2,7
s,1,4861127314.868827,198272,100716544,1387904,2048,128,2,7
m,1,9722254629.737654,198272,100716544,1387904,2048,128,2,7
l,1,24305636574.344135,198272,100716544,1387904,2048,128,2,7
xl,1,48611273148.68827,198272,100716544,1387904,2048,128,2,7
s,1,4604637702.685101,789760,100716544,5528320,2048,256,2,7
m,1,9209275405.370201,789760,100716544,5528320,2048,256,2,7
l,1,23023188513.425503,789760,100716544,5528320,2048,256,2,7
xl,1,46046377026.851006,789760,100716544,5528320,2048,256,2,7
s,1,11820116362.899132,198272,28351488,1387904,768,128,4,7
m,1,23640232725.798264,198272,28351488,1387904,768,128,4,7
l,1,59100581814.49566,198272,28351488,1387904,768,128,4,7
xl,1,118201163628.99132,198272,28351488,1387904,768,128,4,7
s,1,7679540279.373075,198272,50384896,1387904,1024,128,4,7
m,1,15359080558.74615,198272,50384896,1387904,1024,128,4,7
l,1,38397701396.86537,198272,50384896,1387904,1024,128,4,7
xl,1,76795402793.73074,198272,50384896,1387904,1024,128,4,7
s,1,5397588996.310986,198272,78709760,1387904,1280,128,4,7
m,1,10795177992.621971,198272,78709760,1387904,1280,128,4,7
