"trainer/global_step","copper-sun-58 - _step","copper-sun-58 - _step__MIN","copper-sun-58 - _step__MAX","copper-sun-58 - val_entropy_loss","copper-sun-58 - val_entropy_loss__MIN","copper-sun-58 - val_entropy_loss__MAX"
"4049","485","485","485","1.270385980606079","1.270385980606079","1.270385980606079"
"4099","491","491","491","1.2712061405181885","1.2712061405181885","1.2712061405181885"
"4149","497","497","497","1.2700731754302979","1.2700731754302979","1.2700731754302979"
"4199","503","503","503","1.2693431377410889","1.2693431377410889","1.2693431377410889"
"4249","509","509","509","1.2699240446090698","1.2699240446090698","1.2699240446090698"
"4299","515","515","515","1.2694568634033203","1.2694568634033203","1.2694568634033203"
"4349","521","521","521","1.2694735527038574","1.2694735527038574","1.2694735527038574"
"4399","527","527","527","1.2694883346557617","1.2694883346557617","1.2694883346557617"
"4449","533","533","533","1.2688546180725098","1.2688546180725098","1.2688546180725098"
"4499","539","539","539","1.2680935859680176","1.2680935859680176","1.2680935859680176"
"4549","545","545","545","1.2685296535491943","1.2685296535491943","1.2685296535491943"
"4599","551","551","551","1.2684431076049805","1.2684431076049805","1.2684431076049805"
"4649","557","557","557","1.2679545879364014","1.2679545879364014","1.2679545879364014"
"4699","563","563","563","1.267599105834961","1.267599105834961","1.267599105834961"
"4749","569","569","569","1.2687526941299438","1.2687526941299438","1.2687526941299438"
"4799","575","575","575","1.2675365209579468","1.2675365209579468","1.2675365209579468"
"4849","581","581","581","1.2671747207641602","1.2671747207641602","1.2671747207641602"
"4899","587","587","587","1.268006443977356","1.268006443977356","1.268006443977356"
"4949","593","593","593","1.2673823833465576","1.2673823833465576","1.2673823833465576"
"4999","599","599","599","1.267031192779541","1.267031192779541","1.267031192779541"
"5049","605","605","605","1.2666819095611572","1.2666819095611572","1.2666819095611572"
"5099","611","611","611","1.2670937776565552","1.2670937776565552","1.2670937776565552"
"5149","617","617","617","1.2663347721099854","1.2663347721099854","1.2663347721099854"
"5199","623","623","623","1.2665016651153564","1.2665016651153564","1.2665016651153564"
"5249","629","629","629","1.2661421298980713","1.2661421298980713","1.2661421298980713"
"5299","635","635","635","1.2662951946258545","1.2662951946258545","1.2662951946258545"
"5349","641","641","641","1.2663569450378418","1.2663569450378418","1.2663569450378418"
"5399","647","647","647","1.265902042388916","1.265902042388916","1.265902042388916"
"5449","653","653","653","1.2660696506500244","1.2660696506500244","1.2660696506500244"
"5499","659","659","659","1.2655551433563232","1.2655551433563232","1.2655551433563232"
"5549","665","665","665","1.2656433582305908","1.2656433582305908","1.2656433582305908"
"5599","671","671","671","1.265939474105835","1.265939474105835","1.265939474105835"
"5649","677","677","677","1.2659648656845093","1.2659648656845093","1.2659648656845093"
"5699","683","683","683","1.2650644779205322","1.2650644779205322","1.2650644779205322"
"5749","689","689","689","1.2651240825653076","1.2651240825653076","1.2651240825653076"
"5799","695","695","695","1.2647677659988403","1.2647677659988403","1.2647677659988403"
"5849","701","701","701","1.2646372318267822","1.2646372318267822","1.2646372318267822"
"5899","707","707","707","1.264621376991272","1.264621376991272","1.264621376991272"
"5949","713","713","713","1.2643972635269165","1.2643972635269165","1.2643972635269165"
"5999","719","719","719","1.264108657836914","1.264108657836914","1.264108657836914"
"6049","725","725","725","1.2645235061645508","1.2645235061645508","1.2645235061645508"
"6099","731","731","731","1.2643972635269165","1.2643972635269165","1.2643972635269165"
"6149","737","737","737","1.2638680934906006","1.2638680934906006","1.2638680934906006"
"6199","743","743","743","1.2640348672866821","1.2640348672866821","1.2640348672866821"
"6249","749","749","749","1.2636892795562744","1.2636892795562744","1.2636892795562744"
"6299","755","755","755","1.2638721466064453","1.2638721466064453","1.2638721466064453"
"6349","761","761","761","1.2638078927993774","1.2638078927993774","1.2638078927993774"
"6399","767","767","767","1.2636606693267822","1.2636606693267822","1.2636606693267822"
"6449","773","773","773","1.2630670070648193","1.2630670070648193","1.2630670070648193"
"6499","779","779","779","1.2630887031555176","1.2630887031555176","1.2630887031555176"
"6549","785","785","785","1.2633012533187866","1.2633012533187866","1.2633012533187866"
"6599","791","791","791","1.263418436050415","1.263418436050415","1.263418436050415"
"6649","797","797","797","1.263127088546753","1.263127088546753","1.263127088546753"
"6699","803","803","803","1.2629402875900269","1.2629402875900269","1.2629402875900269"
"6749","809","809","809","1.2631640434265137","1.2631640434265137","1.2631640434265137"
"6799","815","815","815","1.263329267501831","1.263329267501831","1.263329267501831"
"6849","821","821","821","1.2627415657043457","1.2627415657043457","1.2627415657043457"
"6899","827","827","827","1.2624512910842896","1.2624512910842896","1.2624512910842896"
"6949","833","833","833","1.262843370437622","1.262843370437622","1.262843370437622"
"6999","839","839","839","1.2618402242660522","1.2618402242660522","1.2618402242660522"
"7049","845","845","845","1.2620749473571777","1.2620749473571777","1.2620749473571777"
"7099","851","851","851","1.2622647285461426","1.2622647285461426","1.2622647285461426"
"7149","857","857","857","1.262183666229248","1.262183666229248","1.262183666229248"
"7199","863","863","863","1.2624504566192627","1.2624504566192627","1.2624504566192627"
"7249","869","869","869","1.262449026107788","1.262449026107788","1.262449026107788"
"7299","875","875","875","1.2617970705032349","1.2617970705032349","1.2617970705032349"
"7349","881","881","881","1.262580394744873","1.262580394744873","1.262580394744873"
"7399","887","887","887","1.2614316940307617","1.2614316940307617","1.2614316940307617"
"7449","893","893","893","1.2616477012634277","1.2616477012634277","1.2616477012634277"
"7499","899","899","899","1.2617864608764648","1.2617864608764648","1.2617864608764648"
"7549","905","905","905","1.261561632156372","1.261561632156372","1.261561632156372"
"7599","911","911","911","1.261181116104126","1.261181116104126","1.261181116104126"
"7649","917","917","917","1.2608217000961304","1.2608217000961304","1.2608217000961304"
"7699","923","923","923","1.260561466217041","1.260561466217041","1.260561466217041"
"7749","929","929","929","1.2606797218322754","1.2606797218322754","1.2606797218322754"
"7799","935","935","935","1.26072096824646","1.26072096824646","1.26072096824646"
"7849","941","941","941","1.2609480619430542","1.2609480619430542","1.2609480619430542"
"7899","947","947","947","1.2609630823135376","1.2609630823135376","1.2609630823135376"
"7949","953","953","953","1.2615699768066406","1.2615699768066406","1.2615699768066406"
"7999","959","959","959","1.2610762119293213","1.2610762119293213","1.2610762119293213"
"8049","965","965","965","1.2601892948150635","1.2601892948150635","1.2601892948150635"
"8099","971","971","971","1.2603230476379395","1.2603230476379395","1.2603230476379395"
"8149","977","977","977","1.2601230144500732","1.2601230144500732","1.2601230144500732"
"8199","983","983","983","1.2597410678863525","1.2597410678863525","1.2597410678863525"
"8249","989","989","989","1.2602283954620361","1.2602283954620361","1.2602283954620361"
"8299","995","995","995","1.2604390382766724","1.2604390382766724","1.2604390382766724"
"8349","1001","1001","1001","1.2601301670074463","1.2601301670074463","1.2601301670074463"
"8399","1007","1007","1007","1.2596585750579834","1.2596585750579834","1.2596585750579834"
"8449","1013","1013","1013","1.2593612670898438","1.2593612670898438","1.2593612670898438"
"8499","1019","1019","1019","1.2595524787902832","1.2595524787902832","1.2595524787902832"
"8549","1025","1025","1025","1.259482502937317","1.259482502937317","1.259482502937317"
"8599","1031","1031","1031","1.2594244480133057","1.2594244480133057","1.2594244480133057"
"8649","1037","1037","1037","1.2590922117233276","1.2590922117233276","1.2590922117233276"
"8699","1043","1043","1043","1.259204387664795","1.259204387664795","1.259204387664795"
"8749","1049","1049","1049","1.2593944072723389","1.2593944072723389","1.2593944072723389"
"8799","1055","1055","1055","1.25938880443573","1.25938880443573","1.25938880443573"
"8849","1061","1061","1061","1.2587945461273193","1.2587945461273193","1.2587945461273193"
"8899","1067","1067","1067","1.2587634325027466","1.2587634325027466","1.2587634325027466"
"8949","1073","1073","1073","1.25913667678833","1.25913667678833","1.25913667678833"
"8999","1079","1079","1079","1.2587891817092896","1.2587891817092896","1.2587891817092896"
"9049","1085","1085","1085","1.2586054801940918","1.2586054801940918","1.2586054801940918"
"9099","1091","1091","1091","1.2591885328292847","1.2591885328292847","1.2591885328292847"
"9149","1097","1097","1097","1.2582812309265137","1.2582812309265137","1.2582812309265137"
"9199","1103","1103","1103","1.258354663848877","1.258354663848877","1.258354663848877"
"9249","1109","1109","1109","1.2585327625274658","1.2585327625274658","1.2585327625274658"
"9299","1115","1115","1115","1.2586019039154053","1.2586019039154053","1.2586019039154053"
"9349","1121","1121","1121","1.2585275173187256","1.2585275173187256","1.2585275173187256"
"9399","1127","1127","1127","1.2580798864364624","1.2580798864364624","1.2580798864364624"
"9449","1133","1133","1133","1.258504033088684","1.258504033088684","1.258504033088684"
"9499","1139","1139","1139","1.2578589916229248","1.2578589916229248","1.2578589916229248"
"9549","1145","1145","1145","1.2580584287643433","1.2580584287643433","1.2580584287643433"
"9599","1151","1151","1151","1.2578016519546509","1.2578016519546509","1.2578016519546509"
"9649","1157","1157","1157","1.2581276893615723","1.2581276893615723","1.2581276893615723"
"9699","1163","1163","1163","1.2577725648880005","1.2577725648880005","1.2577725648880005"
"9749","1169","1169","1169","1.257941484451294","1.257941484451294","1.257941484451294"
"9799","1175","1175","1175","1.2579598426818848","1.2579598426818848","1.2579598426818848"
"9849","1181","1181","1181","1.2575491666793823","1.2575491666793823","1.2575491666793823"
"9899","1187","1187","1187","1.2576391696929932","1.2576391696929932","1.2576391696929932"
"9949","1193","1193","1193","1.2571907043457031","1.2571907043457031","1.2571907043457031"
"9999","1199","1199","1199","1.2576854228973389","1.2576854228973389","1.2576854228973389"
"10049","1205","1205","1205","1.257104516029358","1.257104516029358","1.257104516029358"
"10099","1211","1211","1211","1.2575948238372803","1.2575948238372803","1.2575948238372803"
"10149","1217","1217","1217","1.257143497467041","1.257143497467041","1.257143497467041"
"10199","1223","1223","1223","1.257406234741211","1.257406234741211","1.257406234741211"
"10249","1229","1229","1229","1.257218360900879","1.257218360900879","1.257218360900879"
"10299","1235","1235","1235","1.2569224834442139","1.2569224834442139","1.2569224834442139"
"10349","1241","1241","1241","1.2571156024932861","1.2571156024932861","1.2571156024932861"
"10399","1247","1247","1247","1.2571375370025635","1.2571375370025635","1.2571375370025635"
"10449","1253","1253","1253","1.2573593854904175","1.2573593854904175","1.2573593854904175"
"10499","1259","1259","1259","1.2568860054016113","1.2568860054016113","1.2568860054016113"
"10549","1265","1265","1265","1.2566553354263306","1.2566553354263306","1.2566553354263306"
"10599","1271","1271","1271","1.2572226524353027","1.2572226524353027","1.2572226524353027"
"10649","1277","1277","1277","1.257143259048462","1.257143259048462","1.257143259048462"
"10699","1283","1283","1283","1.2563972473144531","1.2563972473144531","1.2563972473144531"
"10749","1289","1289","1289","1.2563540935516357","1.2563540935516357","1.2563540935516357"
"10799","1295","1295","1295","1.256361961364746","1.256361961364746","1.256361961364746"
"10849","1301","1301","1301","1.2565021514892578","1.2565021514892578","1.2565021514892578"
"10899","1307","1307","1307","1.2565925121307373","1.2565925121307373","1.2565925121307373"
"10949","1313","1313","1313","1.2560032606124878","1.2560032606124878","1.2560032606124878"
"10999","1319","1319","1319","1.256232500076294","1.256232500076294","1.256232500076294"
"11049","1325","1325","1325","1.2562510967254639","1.2562510967254639","1.2562510967254639"
"11099","1331","1331","1331","1.2561763525009155","1.2561763525009155","1.2561763525009155"
"11149","1337","1337","1337","1.2559823989868164","1.2559823989868164","1.2559823989868164"
"11199","1343","1343","1343","1.2558094263076782","1.2558094263076782","1.2558094263076782"
"11249","1349","1349","1349","1.2562923431396484","1.2562923431396484","1.2562923431396484"
"11299","1355","1355","1355","1.2558908462524414","1.2558908462524414","1.2558908462524414"
"11349","1361","1361","1361","1.2562084197998047","1.2562084197998047","1.2562084197998047"
"11399","1367","1367","1367","1.25579833984375","1.25579833984375","1.25579833984375"
"11449","1373","1373","1373","1.2560653686523438","1.2560653686523438","1.2560653686523438"
"11499","1379","1379","1379","1.2558401823043823","1.2558401823043823","1.2558401823043823"
"11549","1385","1385","1385","1.2555363178253174","1.2555363178253174","1.2555363178253174"
"11599","1391","1391","1391","1.2559728622436523","1.2559728622436523","1.2559728622436523"
"11649","1397","1397","1397","1.255425214767456","1.255425214767456","1.255425214767456"
"11699","1403","1403","1403","1.2556296586990356","1.2556296586990356","1.2556296586990356"
"11749","1409","1409","1409","1.255584716796875","1.255584716796875","1.255584716796875"
"11799","1415","1415","1415","1.2558461427688599","1.2558461427688599","1.2558461427688599"
"11849","1421","1421","1421","1.2559746503829956","1.2559746503829956","1.2559746503829956"
"11899","1427","1427","1427","1.2554658651351929","1.2554658651351929","1.2554658651351929"
"11949","1433","1433","1433","1.2553622722625732","1.2553622722625732","1.2553622722625732"
"11999","1439","1439","1439","1.255223274230957","1.255223274230957","1.255223274230957"
"12049","1445","1445","1445","1.2549822330474854","1.2549822330474854","1.2549822330474854"
"12099","1451","1451","1451","1.2552449703216553","1.2552449703216553","1.2552449703216553"
"12149","1457","1457","1457","1.2552909851074219","1.2552909851074219","1.2552909851074219"
"12199","1463","1463","1463","1.2550976276397705","1.2550976276397705","1.2550976276397705"
"12249","1469","1469","1469","1.25547456741333","1.25547456741333","1.25547456741333"
"12299","1475","1475","1475","1.255028247833252","1.255028247833252","1.255028247833252"
"12349","1481","1481","1481","1.2552540302276611","1.2552540302276611","1.2552540302276611"
"12399","1487","1487","1487","1.2549777030944824","1.2549777030944824","1.2549777030944824"
"12449","1493","1493","1493","1.255009412765503","1.255009412765503","1.255009412765503"
"12499","1499","1499","1499","1.2550376653671265","1.2550376653671265","1.2550376653671265"
"12549","1505","1505","1505","1.2549402713775635","1.2549402713775635","1.2549402713775635"
"12599","1511","1511","1511","1.2548246383666992","1.2548246383666992","1.2548246383666992"
"12649","1517","1517","1517","1.254643440246582","1.254643440246582","1.254643440246582"
"12699","1523","1523","1523","1.255008578300476","1.255008578300476","1.255008578300476"
"12749","1529","1529","1529","1.2545528411865234","1.2545528411865234","1.2545528411865234"
"12799","1535","1535","1535","1.2547688484191895","1.2547688484191895","1.2547688484191895"
"12849","1541","1541","1541","1.2549126148223877","1.2549126148223877","1.2549126148223877"
"12899","1547","1547","1547","1.255120038986206","1.255120038986206","1.255120038986206"
"12949","1553","1553","1553","1.254535436630249","1.254535436630249","1.254535436630249"
"12999","1559","1559","1559","1.2546929121017456","1.2546929121017456","1.2546929121017456"
"13049","1565","1565","1565","1.254401683807373","1.254401683807373","1.254401683807373"
"13099","1571","1571","1571","1.2546236515045166","1.2546236515045166","1.2546236515045166"
"13149","1577","1577","1577","1.2544939517974854","1.2544939517974854","1.2544939517974854"
"13199","1583","1583","1583","1.2542003393173218","1.2542003393173218","1.2542003393173218"
"13249","1589","1589","1589","1.2541013956069946","1.2541013956069946","1.2541013956069946"
"13299","1595","1595","1595","1.2542113065719604","1.2542113065719604","1.2542113065719604"
"13349","1601","1601","1601","1.2541335821151733","1.2541335821151733","1.2541335821151733"
"13399","1607","1607","1607","1.2540867328643799","1.2540867328643799","1.2540867328643799"
"13449","1613","1613","1613","1.2541855573654175","1.2541855573654175","1.2541855573654175"
"13499","1619","1619","1619","1.2541855573654175","1.2541855573654175","1.2541855573654175"
"13549","1625","1625","1625","1.2540818452835083","1.2540818452835083","1.2540818452835083"
"13599","1631","1631","1631","1.2541429996490479","1.2541429996490479","1.2541429996490479"
"13649","1637","1637","1637","1.2542654275894165","1.2542654275894165","1.2542654275894165"
"13699","1643","1643","1643","1.2538979053497314","1.2538979053497314","1.2538979053497314"
"13749","1649","1649","1649","1.2540223598480225","1.2540223598480225","1.2540223598480225"
"13799","1655","1655","1655","1.2540360689163208","1.2540360689163208","1.2540360689163208"
"13849","1661","1661","1661","1.2538788318634033","1.2538788318634033","1.2538788318634033"
"13899","1667","1667","1667","1.2538750171661377","1.2538750171661377","1.2538750171661377"
"13949","1673","1673","1673","1.253976583480835","1.253976583480835","1.253976583480835"
"13999","1679","1679","1679","1.2537627220153809","1.2537627220153809","1.2537627220153809"
"14049","1685","1685","1685","1.2537915706634521","1.2537915706634521","1.2537915706634521"
"14099","1691","1691","1691","1.2537211179733276","1.2537211179733276","1.2537211179733276"
"14149","1697","1697","1697","1.2536242008209229","1.2536242008209229","1.2536242008209229"
"14199","1703","1703","1703","1.2536016702651978","1.2536016702651978","1.2536016702651978"
"14249","1709","1709","1709","1.2537505626678467","1.2537505626678467","1.2537505626678467"
"14299","1715","1715","1715","1.2535605430603027","1.2535605430603027","1.2535605430603027"
"14349","1721","1721","1721","1.2534725666046143","1.2534725666046143","1.2534725666046143"
"14399","1727","1727","1727","1.2534996271133423","1.2534996271133423","1.2534996271133423"
"14449","1733","1733","1733","1.253604531288147","1.253604531288147","1.253604531288147"
"14499","1739","1739","1739","1.253481149673462","1.253481149673462","1.253481149673462"
"14549","1745","1745","1745","1.2535039186477661","1.2535039186477661","1.2535039186477661"
"14599","1751","1751","1751","1.2533944845199585","1.2533944845199585","1.2533944845199585"
"14649","1757","1757","1757","1.253453254699707","1.253453254699707","1.253453254699707"
"14699","1763","1763","1763","1.2534384727478027","1.2534384727478027","1.2534384727478027"
"14749","1769","1769","1769","1.2535278797149658","1.2535278797149658","1.2535278797149658"
"14799","1775","1775","1775","1.2534949779510498","1.2534949779510498","1.2534949779510498"
"14849","1781","1781","1781","1.253425121307373","1.253425121307373","1.253425121307373"
"14899","1787","1787","1787","1.253269910812378","1.253269910812378","1.253269910812378"
"14949","1793","1793","1793","1.253206729888916","1.253206729888916","1.253206729888916"
"14999","1799","1799","1799","1.2531307935714722","1.2531307935714722","1.2531307935714722"
"15049","1805","1805","1805","1.2532693147659302","1.2532693147659302","1.2532693147659302"
"15099","1811","1811","1811","1.253333330154419","1.253333330154419","1.253333330154419"
"15149","1817","1817","1817","1.253111720085144","1.253111720085144","1.253111720085144"
"15199","1823","1823","1823","1.2532365322113037","1.2532365322113037","1.2532365322113037"
"15249","1829","1829","1829","1.253190517425537","1.253190517425537","1.253190517425537"
"15299","1835","1835","1835","1.2531633377075195","1.2531633377075195","1.2531633377075195"
"15349","1841","1841","1841","1.253330945968628","1.253330945968628","1.253330945968628"
"15399","1847","1847","1847","1.2531836032867432","1.2531836032867432","1.2531836032867432"
"15449","1853","1853","1853","1.2532358169555664","1.2532358169555664","1.2532358169555664"
"15499","1859","1859","1859","1.2532250881195068","1.2532250881195068","1.2532250881195068"
"15549","1865","1865","1865","1.253030776977539","1.253030776977539","1.253030776977539"
"15599","1871","1871","1871","1.2529700994491577","1.2529700994491577","1.2529700994491577"
"15649","1877","1877","1877","1.2529882192611694","1.2529882192611694","1.2529882192611694"
"15699","1883","1883","1883","1.2531152963638306","1.2531152963638306","1.2531152963638306"
"15749","1889","1889","1889","1.2528966665267944","1.2528966665267944","1.2528966665267944"
"15799","1895","1895","1895","1.2531383037567139","1.2531383037567139","1.2531383037567139"
"15849","1901","1901","1901","1.2529098987579346","1.2529098987579346","1.2529098987579346"
"15899","1907","1907","1907","1.2528876066207886","1.2528876066207886","1.2528876066207886"
"15949","1913","1913","1913","1.2529151439666748","1.2529151439666748","1.2529151439666748"
"15999","1919","1919","1919","1.2529420852661133","1.2529420852661133","1.2529420852661133"
"16049","1925","1925","1925","1.2530268430709839","1.2530268430709839","1.2530268430709839"
"16099","1931","1931","1931","1.252943754196167","1.252943754196167","1.252943754196167"
"16149","1937","1937","1937","1.2528152465820312","1.2528152465820312","1.2528152465820312"
"16199","1943","1943","1943","1.2527618408203125","1.2527618408203125","1.2527618408203125"
"16249","1949","1949","1949","1.2526686191558838","1.2526686191558838","1.2526686191558838"
"16299","1955","1955","1955","1.2528414726257324","1.2528414726257324","1.2528414726257324"
"16349","1961","1961","1961","1.2526235580444336","1.2526235580444336","1.2526235580444336"
"16399","1967","1967","1967","1.2526899576187134","1.2526899576187134","1.2526899576187134"
"16449","1973","1973","1973","1.2529038190841675","1.2529038190841675","1.2529038190841675"
"16499","1979","1979","1979","1.2527308464050293","1.2527308464050293","1.2527308464050293"
"16549","1985","1985","1985","1.2526390552520752","1.2526390552520752","1.2526390552520752"
"16599","1991","1991","1991","1.2529077529907227","1.2529077529907227","1.2529077529907227"
"16649","1997","1997","1997","1.2526309490203857","1.2526309490203857","1.2526309490203857"
"16699","2003","2003","2003","1.2526538372039795","1.2526538372039795","1.2526538372039795"
"16749","2009","2009","2009","1.2524720430374146","1.2524720430374146","1.2524720430374146"
"16799","2015","2015","2015","1.2527856826782227","1.2527856826782227","1.2527856826782227"
"16849","2021","2021","2021","1.2528092861175537","1.2528092861175537","1.2528092861175537"
"16899","2027","2027","2027","1.2524852752685547","1.2524852752685547","1.2524852752685547"
"16949","2033","2033","2033","1.252709150314331","1.252709150314331","1.252709150314331"
