"trainer/global_step","restful-jazz-47 - _step","restful-jazz-47 - _step__MIN","restful-jazz-47 - _step__MAX","restful-jazz-47 - val_entropy_loss","restful-jazz-47 - val_entropy_loss__MIN","restful-jazz-47 - val_entropy_loss__MAX"
"2099","293","293","293","1.2824863195419312","1.2824863195419312","1.2824863195419312"
"2124","296","296","296","1.281891107559204","1.281891107559204","1.281891107559204"
"2149","300","300","300","1.281888484954834","1.281888484954834","1.281888484954834"
"2174","303","303","303","1.2812609672546387","1.2812609672546387","1.2812609672546387"
"2199","307","307","307","1.2798551321029663","1.2798551321029663","1.2798551321029663"
"2224","310","310","310","1.2809176445007324","1.2809176445007324","1.2809176445007324"
"2249","314","314","314","1.2806638479232788","1.2806638479232788","1.2806638479232788"
"2274","317","317","317","1.2812856435775757","1.2812856435775757","1.2812856435775757"
"2299","321","321","321","1.2800111770629883","1.2800111770629883","1.2800111770629883"
"2324","324","324","324","1.280104160308838","1.280104160308838","1.280104160308838"
"2349","328","328","328","1.2801342010498047","1.2801342010498047","1.2801342010498047"
"2374","331","331","331","1.2799038887023926","1.2799038887023926","1.2799038887023926"
"2399","335","335","335","1.2794910669326782","1.2794910669326782","1.2794910669326782"
"2424","338","338","338","1.279173731803894","1.279173731803894","1.279173731803894"
"2449","342","342","342","1.2796597480773926","1.2796597480773926","1.2796597480773926"
"2474","345","345","345","1.2795463800430298","1.2795463800430298","1.2795463800430298"
"2499","349","349","349","1.2795054912567139","1.2795054912567139","1.2795054912567139"
"2524","352","352","352","1.2789604663848877","1.2789604663848877","1.2789604663848877"
"2549","356","356","356","1.2794981002807617","1.2794981002807617","1.2794981002807617"
"2574","359","359","359","1.2798206806182861","1.2798206806182861","1.2798206806182861"
"2599","363","363","363","1.2790969610214233","1.2790969610214233","1.2790969610214233"
"2624","366","366","366","1.2786753177642822","1.2786753177642822","1.2786753177642822"
"2649","370","370","370","1.2787920236587524","1.2787920236587524","1.2787920236587524"
"2674","373","373","373","1.2785385847091675","1.2785385847091675","1.2785385847091675"
"2699","377","377","377","1.2783024311065674","1.2783024311065674","1.2783024311065674"
"2724","380","380","380","1.27806556224823","1.27806556224823","1.27806556224823"
"2749","384","384","384","1.2783619165420532","1.2783619165420532","1.2783619165420532"
"2774","387","387","387","1.2773680686950684","1.2773680686950684","1.2773680686950684"
"2799","391","391","391","1.278194785118103","1.278194785118103","1.278194785118103"
"2824","394","394","394","1.2782155275344849","1.2782155275344849","1.2782155275344849"
"2849","398","398","398","1.2771285772323608","1.2771285772323608","1.2771285772323608"
"2874","401","401","401","1.2775473594665527","1.2775473594665527","1.2775473594665527"
"2899","405","405","405","1.2771496772766113","1.2771496772766113","1.2771496772766113"
"2924","408","408","408","1.2774202823638916","1.2774202823638916","1.2774202823638916"
"2949","412","412","412","1.2778793573379517","1.2778793573379517","1.2778793573379517"
"2974","415","415","415","1.2767010927200317","1.2767010927200317","1.2767010927200317"
"2999","419","419","419","1.2774356603622437","1.2774356603622437","1.2774356603622437"
"3024","422","422","422","1.2761600017547607","1.2761600017547607","1.2761600017547607"
"3049","426","426","426","1.276190161705017","1.276190161705017","1.276190161705017"
"3074","429","429","429","1.2759243249893188","1.2759243249893188","1.2759243249893188"
"3099","433","433","433","1.2754034996032715","1.2754034996032715","1.2754034996032715"
"3124","436","436","436","1.276467204093933","1.276467204093933","1.276467204093933"
"3149","440","440","440","1.276671051979065","1.276671051979065","1.276671051979065"
"3174","443","443","443","1.275553822517395","1.275553822517395","1.275553822517395"
"3199","447","447","447","1.2755624055862427","1.2755624055862427","1.2755624055862427"
"3224","450","450","450","1.2752540111541748","1.2752540111541748","1.2752540111541748"
"3249","454","454","454","1.2753350734710693","1.2753350734710693","1.2753350734710693"
"3274","457","457","457","1.2750217914581299","1.2750217914581299","1.2750217914581299"
"3299","461","461","461","1.274320125579834","1.274320125579834","1.274320125579834"
"3324","464","464","464","1.27468740940094","1.27468740940094","1.27468740940094"
"3349","468","468","468","1.2741557359695435","1.2741557359695435","1.2741557359695435"
"3374","471","471","471","1.2744697332382202","1.2744697332382202","1.2744697332382202"
"3399","475","475","475","1.274511694908142","1.274511694908142","1.274511694908142"
"3424","478","478","478","1.274763822555542","1.274763822555542","1.274763822555542"
"3449","482","482","482","1.2737928628921509","1.2737928628921509","1.2737928628921509"
"3474","485","485","485","1.2740905284881592","1.2740905284881592","1.2740905284881592"
"3499","489","489","489","1.2739835977554321","1.2739835977554321","1.2739835977554321"
"3524","492","492","492","1.27334725856781","1.27334725856781","1.27334725856781"
"3549","496","496","496","1.2737690210342407","1.2737690210342407","1.2737690210342407"
"3574","499","499","499","1.272884726524353","1.272884726524353","1.272884726524353"
"3599","503","503","503","1.2727619409561157","1.2727619409561157","1.2727619409561157"
"3624","506","506","506","1.2732133865356445","1.2732133865356445","1.2732133865356445"
"3649","510","510","510","1.2724019289016724","1.2724019289016724","1.2724019289016724"
"3674","513","513","513","1.2729357481002808","1.2729357481002808","1.2729357481002808"
"3699","517","517","517","1.2720807790756226","1.2720807790756226","1.2720807790756226"
"3724","520","520","520","1.2722145318984985","1.2722145318984985","1.2722145318984985"
"3749","524","524","524","1.271816372871399","1.271816372871399","1.271816372871399"
"3774","527","527","527","1.272536277770996","1.272536277770996","1.272536277770996"
"3799","531","531","531","1.2716275453567505","1.2716275453567505","1.2716275453567505"
"3824","534","534","534","1.271607518196106","1.271607518196106","1.271607518196106"
"3849","538","538","538","1.2724895477294922","1.2724895477294922","1.2724895477294922"
"3874","541","541","541","1.2718349695205688","1.2718349695205688","1.2718349695205688"
"3899","545","545","545","1.2725391387939453","1.2725391387939453","1.2725391387939453"
"3924","548","548","548","1.2721009254455566","1.2721009254455566","1.2721009254455566"
"3949","552","552","552","1.2713508605957031","1.2713508605957031","1.2713508605957031"
"3974","555","555","555","1.2713720798492432","1.2713720798492432","1.2713720798492432"
"3999","559","559","559","1.2715164422988892","1.2715164422988892","1.2715164422988892"
"4024","562","562","562","1.271979808807373","1.271979808807373","1.271979808807373"
"4049","566","566","566","1.271285057067871","1.271285057067871","1.271285057067871"
"4074","569","569","569","1.2724030017852783","1.2724030017852783","1.2724030017852783"
"4099","573","573","573","1.2718727588653564","1.2718727588653564","1.2718727588653564"
"4124","576","576","576","1.2713133096694946","1.2713133096694946","1.2713133096694946"
"4149","580","580","580","1.2726497650146484","1.2726497650146484","1.2726497650146484"
"4174","583","583","583","1.2707443237304688","1.2707443237304688","1.2707443237304688"
"4199","587","587","587","1.2718968391418457","1.2718968391418457","1.2718968391418457"
"4224","590","590","590","1.2726978063583374","1.2726978063583374","1.2726978063583374"
"4249","594","594","594","1.2717554569244385","1.2717554569244385","1.2717554569244385"
"4274","597","597","597","1.2713711261749268","1.2713711261749268","1.2713711261749268"
"4299","601","601","601","1.2707645893096924","1.2707645893096924","1.2707645893096924"
"4324","604","604","604","1.2711395025253296","1.2711395025253296","1.2711395025253296"
"4349","608","608","608","1.2717677354812622","1.2717677354812622","1.2717677354812622"
"4374","611","611","611","1.2706222534179688","1.2706222534179688","1.2706222534179688"
"4399","615","615","615","1.2704025506973267","1.2704025506973267","1.2704025506973267"
"4424","618","618","618","1.2714120149612427","1.2714120149612427","1.2714120149612427"
"4449","622","622","622","1.2707360982894897","1.2707360982894897","1.2707360982894897"
"4474","625","625","625","1.271201252937317","1.271201252937317","1.271201252937317"
"4499","629","629","629","1.2710322141647339","1.2710322141647339","1.2710322141647339"
"4524","632","632","632","1.271057367324829","1.271057367324829","1.271057367324829"
"4549","636","636","636","1.2717489004135132","1.2717489004135132","1.2717489004135132"
"4574","639","639","639","1.2713708877563477","1.2713708877563477","1.2713708877563477"
"4599","643","643","643","1.272489309310913","1.272489309310913","1.272489309310913"
"4624","646","646","646","1.2715569734573364","1.2715569734573364","1.2715569734573364"
"4649","650","650","650","1.2706141471862793","1.2706141471862793","1.2706141471862793"
"4674","653","653","653","1.2708055973052979","1.2708055973052979","1.2708055973052979"
"4699","657","657","657","1.2708899974822998","1.2708899974822998","1.2708899974822998"
"4724","660","660","660","1.2708070278167725","1.2708070278167725","1.2708070278167725"
"4749","664","664","664","1.2703684568405151","1.2703684568405151","1.2703684568405151"
"4774","667","667","667","1.2703044414520264","1.2703044414520264","1.2703044414520264"
"4799","671","671","671","1.2703890800476074","1.2703890800476074","1.2703890800476074"
"4824","674","674","674","1.2713218927383423","1.2713218927383423","1.2713218927383423"
"4849","678","678","678","1.2703776359558105","1.2703776359558105","1.2703776359558105"
"4874","681","681","681","1.271313190460205","1.271313190460205","1.271313190460205"
"4899","685","685","685","1.2708946466445923","1.2708946466445923","1.2708946466445923"
"4924","688","688","688","1.27049720287323","1.27049720287323","1.27049720287323"
"4949","692","692","692","1.2705329656600952","1.2705329656600952","1.2705329656600952"
"4974","695","695","695","1.2711153030395508","1.2711153030395508","1.2711153030395508"
"4999","699","699","699","1.270413875579834","1.270413875579834","1.270413875579834"
"5024","702","702","702","1.270205020904541","1.270205020904541","1.270205020904541"
"5049","706","706","706","1.2699940204620361","1.2699940204620361","1.2699940204620361"
"5074","709","709","709","1.2700639963150024","1.2700639963150024","1.2700639963150024"
"5099","713","713","713","1.270695686340332","1.270695686340332","1.270695686340332"
"5124","716","716","716","1.2705953121185303","1.2705953121185303","1.2705953121185303"
"5149","720","720","720","1.2706161737442017","1.2706161737442017","1.2706161737442017"
"5174","723","723","723","1.2701672315597534","1.2701672315597534","1.2701672315597534"
"5199","727","727","727","1.2700128555297852","1.2700128555297852","1.2700128555297852"
"5224","730","730","730","1.2702323198318481","1.2702323198318481","1.2702323198318481"
"5249","734","734","734","1.2693166732788086","1.2693166732788086","1.2693166732788086"
"5274","737","737","737","1.2703176736831665","1.2703176736831665","1.2703176736831665"
"5299","741","741","741","1.270444393157959","1.270444393157959","1.270444393157959"
"5324","744","744","744","1.2691946029663086","1.2691946029663086","1.2691946029663086"
"5349","748","748","748","1.2690274715423584","1.2690274715423584","1.2690274715423584"
"5374","751","751","751","1.2691731452941895","1.2691731452941895","1.2691731452941895"
"5399","755","755","755","1.269894003868103","1.269894003868103","1.269894003868103"
"5424","758","758","758","1.2696250677108765","1.2696250677108765","1.2696250677108765"
"5449","762","762","762","1.2692421674728394","1.2692421674728394","1.2692421674728394"
"5474","765","765","765","1.2698856592178345","1.2698856592178345","1.2698856592178345"
"5499","769","769","769","1.2694597244262695","1.2694597244262695","1.2694597244262695"
"5524","772","772","772","1.2691723108291626","1.2691723108291626","1.2691723108291626"
"5549","776","776","776","1.269486665725708","1.269486665725708","1.269486665725708"
"5574","779","779","779","1.2694156169891357","1.2694156169891357","1.2694156169891357"
"5599","783","783","783","1.2690621614456177","1.2690621614456177","1.2690621614456177"
"5624","786","786","786","1.2692208290100098","1.2692208290100098","1.2692208290100098"
"5649","790","790","790","1.2689388990402222","1.2689388990402222","1.2689388990402222"
"5674","793","793","793","1.2687394618988037","1.2687394618988037","1.2687394618988037"
"5699","797","797","797","1.2692925930023193","1.2692925930023193","1.2692925930023193"
"5724","800","800","800","1.2683477401733398","1.2683477401733398","1.2683477401733398"
"5749","804","804","804","1.2685836553573608","1.2685836553573608","1.2685836553573608"
"5774","807","807","807","1.2690294981002808","1.2690294981002808","1.2690294981002808"
"5799","811","811","811","1.2688337564468384","1.2688337564468384","1.2688337564468384"
"5824","814","814","814","1.2688989639282227","1.2688989639282227","1.2688989639282227"
"5849","818","818","818","1.268953800201416","1.268953800201416","1.268953800201416"
"5874","821","821","821","1.2689599990844727","1.2689599990844727","1.2689599990844727"
"5899","825","825","825","1.2690024375915527","1.2690024375915527","1.2690024375915527"
"5924","828","828","828","1.26860773563385","1.26860773563385","1.26860773563385"
"5949","832","832","832","1.2683889865875244","1.2683889865875244","1.2683889865875244"
"5974","835","835","835","1.2681779861450195","1.2681779861450195","1.2681779861450195"
"5999","839","839","839","1.2685567140579224","1.2685567140579224","1.2685567140579224"
"6024","842","842","842","1.2678836584091187","1.2678836584091187","1.2678836584091187"
"6049","846","846","846","1.268280029296875","1.268280029296875","1.268280029296875"
"6074","849","849","849","1.2682777643203735","1.2682777643203735","1.2682777643203735"
"6099","853","853","853","1.2680269479751587","1.2680269479751587","1.2680269479751587"
"6124","856","856","856","1.267907738685608","1.267907738685608","1.267907738685608"
"6149","860","860","860","1.2678219079971313","1.2678219079971313","1.2678219079971313"
"6174","863","863","863","1.2678050994873047","1.2678050994873047","1.2678050994873047"
"6199","867","867","867","1.2676843404769897","1.2676843404769897","1.2676843404769897"
"6224","870","870","870","1.2681400775909424","1.2681400775909424","1.2681400775909424"
"6249","874","874","874","1.2680989503860474","1.2680989503860474","1.2680989503860474"
"6274","877","877","877","1.268072247505188","1.268072247505188","1.268072247505188"
"6299","881","881","881","1.267573356628418","1.267573356628418","1.267573356628418"
"6324","884","884","884","1.267455816268921","1.267455816268921","1.267455816268921"
"6349","888","888","888","1.2679210901260376","1.2679210901260376","1.2679210901260376"
"6374","891","891","891","1.268334984779358","1.268334984779358","1.268334984779358"
"6399","895","895","895","1.268459677696228","1.268459677696228","1.268459677696228"
"6424","898","898","898","1.2687817811965942","1.2687817811965942","1.2687817811965942"
"6449","902","902","902","1.2680089473724365","1.2680089473724365","1.2680089473724365"
"6474","905","905","905","1.2681386470794678","1.2681386470794678","1.2681386470794678"
"6499","909","909","909","1.2677884101867676","1.2677884101867676","1.2677884101867676"
"6524","912","912","912","1.2672451734542847","1.2672451734542847","1.2672451734542847"
"6549","916","916","916","1.2681021690368652","1.2681021690368652","1.2681021690368652"
"6574","919","919","919","1.2670559883117676","1.2670559883117676","1.2670559883117676"
"6599","923","923","923","1.266975998878479","1.266975998878479","1.266975998878479"
"6624","926","926","926","1.2671003341674805","1.2671003341674805","1.2671003341674805"
"6649","930","930","930","1.2670313119888306","1.2670313119888306","1.2670313119888306"
"6674","933","933","933","1.2671242952346802","1.2671242952346802","1.2671242952346802"
"6699","937","937","937","1.2671029567718506","1.2671029567718506","1.2671029567718506"
"6724","940","940","940","1.2674270868301392","1.2674270868301392","1.2674270868301392"
"6749","944","944","944","1.2673033475875854","1.2673033475875854","1.2673033475875854"
"6774","947","947","947","1.2671583890914917","1.2671583890914917","1.2671583890914917"
"6799","951","951","951","1.2668033838272095","1.2668033838272095","1.2668033838272095"
"6824","954","954","954","1.2675384283065796","1.2675384283065796","1.2675384283065796"
"6849","958","958","958","1.266742467880249","1.266742467880249","1.266742467880249"
"6874","961","961","961","1.2673795223236084","1.2673795223236084","1.2673795223236084"
"6899","965","965","965","1.2674742937088013","1.2674742937088013","1.2674742937088013"
"6924","968","968","968","1.2668172121047974","1.2668172121047974","1.2668172121047974"
"6949","972","972","972","1.267167091369629","1.267167091369629","1.267167091369629"
"6974","975","975","975","1.2673041820526123","1.2673041820526123","1.2673041820526123"
"6999","979","979","979","1.2671213150024414","1.2671213150024414","1.2671213150024414"
"7024","982","982","982","1.2672529220581055","1.2672529220581055","1.2672529220581055"
"7049","986","986","986","1.2667810916900635","1.2667810916900635","1.2667810916900635"
"7074","989","989","989","1.2671468257904053","1.2671468257904053","1.2671468257904053"
"7099","993","993","993","1.2669310569763184","1.2669310569763184","1.2669310569763184"
"7124","996","996","996","1.266969919204712","1.266969919204712","1.266969919204712"
"7149","1000","1000","1000","1.2680631875991821","1.2680631875991821","1.2680631875991821"
"7174","1003","1003","1003","1.2675321102142334","1.2675321102142334","1.2675321102142334"
"7199","1007","1007","1007","1.2672675848007202","1.2672675848007202","1.2672675848007202"
"7224","1010","1010","1010","1.2672063112258911","1.2672063112258911","1.2672063112258911"
"7249","1014","1014","1014","1.2670117616653442","1.2670117616653442","1.2670117616653442"
"7274","1017","1017","1017","1.2669075727462769","1.2669075727462769","1.2669075727462769"
"7299","1021","1021","1021","1.266933798789978","1.266933798789978","1.266933798789978"
"7324","1024","1024","1024","1.266670823097229","1.266670823097229","1.266670823097229"
"7349","1028","1028","1028","1.2669178247451782","1.2669178247451782","1.2669178247451782"
"7374","1031","1031","1031","1.2668530941009521","1.2668530941009521","1.2668530941009521"
"7399","1035","1035","1035","1.2666538953781128","1.2666538953781128","1.2666538953781128"
"7424","1038","1038","1038","1.266544222831726","1.266544222831726","1.266544222831726"
"7449","1042","1042","1042","1.2663729190826416","1.2663729190826416","1.2663729190826416"
"7474","1045","1045","1045","1.2665356397628784","1.2665356397628784","1.2665356397628784"
"7499","1049","1049","1049","1.2662229537963867","1.2662229537963867","1.2662229537963867"
"7524","1052","1052","1052","1.2663310766220093","1.2663310766220093","1.2663310766220093"
"7549","1056","1056","1056","1.2664262056350708","1.2664262056350708","1.2664262056350708"
"7574","1059","1059","1059","1.266453504562378","1.266453504562378","1.266453504562378"
"7599","1063","1063","1063","1.2664198875427246","1.2664198875427246","1.2664198875427246"
"7624","1066","1066","1066","1.2664514780044556","1.2664514780044556","1.2664514780044556"
"7649","1070","1070","1070","1.2666879892349243","1.2666879892349243","1.2666879892349243"
"7674","1073","1073","1073","1.2661007642745972","1.2661007642745972","1.2661007642745972"
"7699","1077","1077","1077","1.2663205862045288","1.2663205862045288","1.2663205862045288"
"7724","1080","1080","1080","1.2665605545043945","1.2665605545043945","1.2665605545043945"
"7749","1084","1084","1084","1.2666335105895996","1.2666335105895996","1.2666335105895996"
"7774","1087","1087","1087","1.2663307189941406","1.2663307189941406","1.2663307189941406"
"7799","1091","1091","1091","1.2660659551620483","1.2660659551620483","1.2660659551620483"
"7824","1094","1094","1094","1.2658671140670776","1.2658671140670776","1.2658671140670776"
"7849","1098","1098","1098","1.2661123275756836","1.2661123275756836","1.2661123275756836"
"7874","1101","1101","1101","1.2664834260940552","1.2664834260940552","1.2664834260940552"
"7899","1105","1105","1105","1.266584038734436","1.266584038734436","1.266584038734436"
"7924","1108","1108","1108","1.2670142650604248","1.2670142650604248","1.2670142650604248"
"7949","1112","1112","1112","1.2663112878799438","1.2663112878799438","1.2663112878799438"
"7974","1115","1115","1115","1.2659430503845215","1.2659430503845215","1.2659430503845215"
"7999","1119","1119","1119","1.2658814191818237","1.2658814191818237","1.2658814191818237"
"8024","1122","1122","1122","1.2660837173461914","1.2660837173461914","1.2660837173461914"
"8049","1126","1126","1126","1.2658172845840454","1.2658172845840454","1.2658172845840454"
"8074","1129","1129","1129","1.2659928798675537","1.2659928798675537","1.2659928798675537"
"8099","1133","1133","1133","1.2662100791931152","1.2662100791931152","1.2662100791931152"
"8124","1136","1136","1136","1.2661898136138916","1.2661898136138916","1.2661898136138916"
"8149","1140","1140","1140","1.2658888101577759","1.2658888101577759","1.2658888101577759"
"8174","1143","1143","1143","1.26607084274292","1.26607084274292","1.26607084274292"
"8199","1147","1147","1147","1.2662204504013062","1.2662204504013062","1.2662204504013062"
"8224","1150","1150","1150","1.2659610509872437","1.2659610509872437","1.2659610509872437"
"8249","1154","1154","1154","1.2660574913024902","1.2660574913024902","1.2660574913024902"
"8274","1157","1157","1157","1.266809344291687","1.266809344291687","1.266809344291687"
"8299","1161","1161","1161","1.266160011291504","1.266160011291504","1.266160011291504"
"8324","1164","1164","1164","1.2658153772354126","1.2658153772354126","1.2658153772354126"
"8349","1168","1168","1168","1.265812873840332","1.265812873840332","1.265812873840332"
"8374","1171","1171","1171","1.2653988599777222","1.2653988599777222","1.2653988599777222"
"8399","1175","1175","1175","1.265515923500061","1.265515923500061","1.265515923500061"
"8424","1178","1178","1178","1.2654409408569336","1.2654409408569336","1.2654409408569336"
"8449","1182","1182","1182","1.2655763626098633","1.2655763626098633","1.2655763626098633"
"8474","1185","1185","1185","1.2657642364501953","1.2657642364501953","1.2657642364501953"
"8499","1189","1189","1189","1.2653694152832031","1.2653694152832031","1.2653694152832031"
"8524","1192","1192","1192","1.2653398513793945","1.2653398513793945","1.2653398513793945"
"8549","1196","1196","1196","1.2654820680618286","1.2654820680618286","1.2654820680618286"
"8574","1199","1199","1199","1.2655916213989258","1.2655916213989258","1.2655916213989258"
"8599","1203","1203","1203","1.2655655145645142","1.2655655145645142","1.2655655145645142"
"8624","1206","1206","1206","1.2652616500854492","1.2652616500854492","1.2652616500854492"
"8649","1210","1210","1210","1.265503168106079","1.265503168106079","1.265503168106079"
"8674","1213","1213","1213","1.2653584480285645","1.2653584480285645","1.2653584480285645"
"8699","1217","1217","1217","1.2650972604751587","1.2650972604751587","1.2650972604751587"
"8724","1220","1220","1220","1.2657204866409302","1.2657204866409302","1.2657204866409302"
"8749","1224","1224","1224","1.265394926071167","1.265394926071167","1.265394926071167"
"8774","1227","1227","1227","1.2652573585510254","1.2652573585510254","1.2652573585510254"
"8799","1231","1231","1231","1.265337347984314","1.265337347984314","1.265337347984314"
"8824","1234","1234","1234","1.2653684616088867","1.2653684616088867","1.2653684616088867"
"8849","1238","1238","1238","1.2652010917663574","1.2652010917663574","1.2652010917663574"
"8874","1241","1241","1241","1.2653663158416748","1.2653663158416748","1.2653663158416748"
"8899","1245","1245","1245","1.265425682067871","1.265425682067871","1.265425682067871"
"8924","1248","1248","1248","1.2650870084762573","1.2650870084762573","1.2650870084762573"
"8949","1252","1252","1252","1.265082597732544","1.265082597732544","1.265082597732544"
"8974","1255","1255","1255","1.2655292749404907","1.2655292749404907","1.2655292749404907"
