"trainer/global_step","restful-flower-48 - _step","restful-flower-48 - _step__MIN","restful-flower-48 - _step__MAX","restful-flower-48 - val_entropy_loss","restful-flower-48 - val_entropy_loss__MIN","restful-flower-48 - val_entropy_loss__MAX"
"49","5","5","5","1.9934604167938232","1.9934604167938232","1.9934604167938232"
"99","11","11","11","1.4103891849517822","1.4103891849517822","1.4103891849517822"
"149","17","17","17","1.3684800863265991","1.3684800863265991","1.3684800863265991"
"199","23","23","23","1.3487427234649658","1.3487427234649658","1.3487427234649658"
"249","29","29","29","1.3371737003326416","1.3371737003326416","1.3371737003326416"
"299","35","35","35","1.3308131694793701","1.3308131694793701","1.3308131694793701"
"349","41","41","41","1.3233362436294556","1.3233362436294556","1.3233362436294556"
"399","47","47","47","1.3225821256637573","1.3225821256637573","1.3225821256637573"
"449","53","53","53","1.3183538913726807","1.3183538913726807","1.3183538913726807"
"499","59","59","59","1.3152236938476562","1.3152236938476562","1.3152236938476562"
"549","65","65","65","1.3140922784805298","1.3140922784805298","1.3140922784805298"
"599","71","71","71","1.310463547706604","1.310463547706604","1.310463547706604"
"649","77","77","77","1.307788372039795","1.307788372039795","1.307788372039795"
"699","83","83","83","1.3084285259246826","1.3084285259246826","1.3084285259246826"
"749","89","89","89","1.30563223361969","1.30563223361969","1.30563223361969"
"799","95","95","95","1.304386019706726","1.304386019706726","1.304386019706726"
"849","101","101","101","1.3023005723953247","1.3023005723953247","1.3023005723953247"
"899","107","107","107","1.3018133640289307","1.3018133640289307","1.3018133640289307"
"949","113","113","113","1.3013594150543213","1.3013594150543213","1.3013594150543213"
"999","119","119","119","1.2998594045639038","1.2998594045639038","1.2998594045639038"
"1049","125","125","125","1.2987302541732788","1.2987302541732788","1.2987302541732788"
"1099","131","131","131","1.2988505363464355","1.2988505363464355","1.2988505363464355"
"1149","137","137","137","1.2980068922042847","1.2980068922042847","1.2980068922042847"
"1199","143","143","143","1.2961483001708984","1.2961483001708984","1.2961483001708984"
"1249","149","149","149","1.2951966524124146","1.2951966524124146","1.2951966524124146"
"1299","155","155","155","1.2947486639022827","1.2947486639022827","1.2947486639022827"
"1349","161","161","161","1.2936745882034302","1.2936745882034302","1.2936745882034302"
"1399","167","167","167","1.2925679683685303","1.2925679683685303","1.2925679683685303"
"1449","173","173","173","1.2918156385421753","1.2918156385421753","1.2918156385421753"
"1499","179","179","179","1.2905902862548828","1.2905902862548828","1.2905902862548828"
"1549","185","185","185","1.2910122871398926","1.2910122871398926","1.2910122871398926"
